index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,EyeSense:34:CD:B0:47:32:04,2025-09-29 12:10:00+00:00,19.37,,60.8475,35.5825,100.0,0.0,0.0,0.0099999997764825,1897.75,,1.0,14.4,66.0,1007.0,4.6,249.0,100.0,,0.0,,
1,EyeSense:34:CD:B0:47:32:04,2025-09-29 12:15:00+00:00,20.436666666666667,,60.88666666666666,35.99666666666666,100.0,0.0,0.0,0.0266666660706202,1895.3333333333333,,1.0,14.4,66.0,1007.0,4.6,249.0,100.0,,0.0,,
2,EyeSense:34:CD:B0:47:32:04,2026-03-11 09:30:00+00:00,20.932,,50.762,3.796,35.2,0.0,0.0,0.0,465.4,,1.0,7.6,76.0,988.5,17.5,265.0,10.0,,0.0,,
3,EyeSense:34:CD:B0:47:32:04,2026-03-11 09:40:00+00:00,21.584,,41.896,19.332,75.4,0.0,0.0,0.0159999996423721,554.6,,1.0,8.4,71.0,989.5,20.2,270.0,13.0,,0.0,,
4,EyeSense:34:CD:B0:47:32:04,2026-03-11 09:50:00+00:00,22.372,,39.20400000000001,24.198,49.4,0.0,0.0,0.007999999821186,600.0,,1.0,8.4,71.0,989.5,20.2,270.0,13.0,,0.0,,
5,EyeSense:34:CD:B0:47:32:04,2026-03-11 10:05:00+00:00,22.97,,40.292,22.464,60.6,0.0,0.0,0.0159999996423721,664.2,,1.0,8.4,71.0,989.5,20.2,270.0,13.0,,0.0,,
6,EyeSense:34:CD:B0:47:32:04,2026-03-11 10:15:00+00:00,22.975,,41.095,15.5,72.5,0.0,0.0,0.0199999995529651,818.0,,1.0,8.4,71.0,989.5,20.2,270.0,13.0,,0.0,,
7,EyeSense:34:CD:B0:47:32:04,2026-03-11 10:35:00+00:00,23.032,,44.704,26.732,4.4,0.0,0.0,0.0159999996423721,397.0,,0.2,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
8,EyeSense:34:CD:B0:47:32:04,2026-03-11 10:45:00+00:00,22.964,,44.77,12.264,8.0,0.0,0.0,0.0,397.6,,0.6,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
9,EyeSense:34:CD:B0:47:32:04,2026-03-11 10:55:00+00:00,22.962,,45.06,21.596,33.6,0.0,0.0,0.0,407.2,,1.0,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
