index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,EyeSense:34:CD:B0:48:D0:28,2025-09-29 11:00:00+00:00,18.1,,61.68,27.66,100.0,0.0,0.0,0.0,1292.0,,1.0,13.6,71.0,1007.4,3.5,249.0,100.0,,0.0,,
1,EyeSense:34:CD:B0:48:D0:28,2025-09-29 11:10:00+00:00,20.17,,56.7,28.0,100.0,0.0,0.0,0.0399999991059303,1326.0,,1.0,13.6,71.0,1007.4,3.5,249.0,100.0,,0.0,,
2,EyeSense:34:CD:B0:48:D0:28,2026-03-05 09:20:00+00:00,14.5,,69.63,19.0,16.0,0.0,0.0,0.0,406.0,,1.0,8.2,83.0,996.4,8.2,131.0,0.0,,0.0,,
3,EyeSense:34:CD:B0:48:D0:28,2026-03-05 09:40:00+00:00,22.148000000000003,,45.194,9.795999999999998,7.8,0.0,0.0,0.007999999821186,400.2,,0.8,9.9,80.0,996.4,7.7,131.0,0.0,,0.0,,
4,EyeSense:34:CD:B0:48:D0:28,2026-03-05 09:50:00+00:00,23.086,,43.104,4.0,4.0,0.0,0.0,0.0,394.6,,0.0,9.9,80.0,996.4,7.7,131.0,0.0,,0.0,,
5,EyeSense:34:CD:B0:48:D0:28,2026-03-05 10:00:00+00:00,23.45,,42.544,4.0,4.6,0.0,0.0,0.0,396.0,,0.0,9.9,80.0,996.4,7.7,131.0,0.0,,0.0,,
6,EyeSense:34:CD:B0:48:D0:28,2026-03-05 10:10:00+00:00,23.598000000000003,,42.504000000000005,4.0,6.2,0.0,0.0,0.0,405.4,,0.0,9.9,80.0,996.4,7.7,131.0,0.0,,0.0,,
7,EyeSense:34:CD:B0:48:D0:28,2026-03-05 10:20:00+00:00,23.718,,42.902,4.132,4.0,0.0,0.0,0.0,405.6,,0.0,9.9,80.0,996.4,7.7,131.0,0.0,,0.0,,
8,EyeSense:34:CD:B0:48:D0:28,2026-03-05 10:30:00+00:00,23.854,,42.190000000000005,2.928,4.2,0.0,0.0,0.0,399.8,,0.0,9.9,80.0,996.4,7.7,131.0,0.0,,0.0,,
9,EyeSense:34:CD:B0:48:D0:28,2026-03-05 10:40:00+00:00,23.758,,41.29,2.998,6.2,0.0,0.0,0.0,396.4,,0.0,11.5,76.0,996.2,8.0,140.0,1.0,,0.0,,
