index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,SENS_327C90,2025-09-29 12:00:00+00:00,19.82,,58.98,39.66,100.0,0.0,0.0,0.0,1640.0,,1.0,14.4,66,1007.0,4.6,249,100,,0.0,,
1,SENS_327C90,2026-03-03 08:55:00+00:00,18.685,,64.155,8.0,6.0,0.0,0.0,0.0,1209.5,,1.0,7.6,87,1008.1,6.3,31,98,,0.0,,
2,SENS_327C90,2026-03-03 09:05:00+00:00,18.334,,65.978,8.529999999999998,43.0,0.0,0.0,0.0,1198.6,,1.0,7.6,87,1008.1,6.3,31,98,,0.0,,
3,SENS_327C90,2026-03-03 09:20:00+00:00,18.486,,65.28999999999999,9.132,9.4,0.0,0.0,0.0,1189.8,,0.4,7.6,87,1008.1,6.3,31,98,,0.0,,
4,SENS_327C90,2026-03-03 09:30:00+00:00,18.54,,65.27,8.66,79.0,0.0,0.0,0.0,1190.0,,1.0,7.6,87,1008.1,6.3,31,98,,0.0,,
5,SENS_327C90,2026-03-03 09:40:00+00:00,18.766,,63.552,9.198,4.2,0.0,0.0,0.0,1147.8,,0.0,8.6,80,1008.8,8.7,52,100,,0.0,,
6,SENS_327C90,2026-03-03 09:50:00+00:00,17.714,,57.422,10.264,7.4,0.0,0.0,0.0,657.8,,0.2,8.6,80,1008.8,8.7,52,100,,0.0,,
7,SENS_327C90,2026-03-03 10:00:00+00:00,17.773999999999997,,59.24,11.929999999999998,6.0,0.0,0.0,0.0,564.2,,0.2,8.6,80,1008.8,8.7,52,100,,0.0,,
8,SENS_327C90,2026-03-03 10:10:00+00:00,18.106,,60.04600000000001,14.132,9.2,0.0,0.0,0.0,613.8,,0.6,8.6,80,1008.8,8.7,52,100,,0.0,,
9,SENS_327C90,2026-03-03 10:20:00+00:00,18.206,,60.588,16.729999999999997,9.2,0.0,0.0,0.0,651.6,,1.0,8.6,80,1008.8,8.7,52,100,,0.0,,
10,SENS_327C90,2026-03-03 10:30:00+00:00,18.2275,,60.970000000000006,15.83,29.75,0.0,0.0,0.0,695.5,,1.0,8.6,80,1008.8,8.7,52,100,,0.0,,
11,SENS_327C90,2026-03-03 10:40:00+00:00,18.1375,,61.1425,20.6625,15.0,0.0,0.0,0.0,708.75,,1.0,9.1,76,1009.0,9.7,63,100,,0.0,,
12,SENS_327C90,2026-03-03 10:50:00+00:00,18.11,,60.8,19.262,22.8,0.0,0.0,0.0,708.2,,1.0,9.1,76,1009.0,9.7,63,100,,0.0,,
13,SENS_327C90,2026-03-03 11:00:00+00:00,18.0725,,60.620000000000005,20.745,12.25,0.0,0.0,0.0,712.75,,1.0,9.1,76,1009.0,9.7,63,100,,0.0,,
14,SENS_327C90,2026-03-03 11:10:00+00:00,17.973999999999997,,59.242,22.93,8.4,0.0,0.0,0.0,649.0,,0.2,9.1,76,1009.0,9.7,63,100,,0.0,,
15,SENS_327C90,2026-03-03 11:20:00+00:00,17.95,,58.99,21.73,10.6,0.0,0.0,0.0,609.2,,0.6,9.1,76,1009.0,9.7,63,100,,0.0,,
