index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,SENS_3594E0,2025-09-29 11:45:00+00:00,20.21,,58.06,20.66,100.0,0.0,0.0,0.0,2013.0,,1.0,14.4,66.0,1007.0,4.6,249.0,100.0,,0.0,,
1,SENS_3594E0,2026-03-04 14:45:00+00:00,19.152,,54.27,545.53,72.0,0.0,0.0,0.4059999883174896,684.8,,1.0,12.6,75.0,1003.3,9.9,127.0,0.0,,0.0,,
2,SENS_3594E0,2026-03-04 14:55:00+00:00,19.796,,52.408,547.266,51.6,0.0,0.0,0.3959999918937683,688.2,,1.0,12.6,75.0,1003.3,9.9,127.0,0.0,,0.0,,
3,SENS_3594E0,2026-03-04 15:05:00+00:00,20.126,,51.7,532.598,54.4,0.0,0.0,0.3320000052452087,677.0,,1.0,12.6,75.0,1003.3,9.9,127.0,0.0,,0.0,,
4,SENS_3594E0,2026-03-04 15:15:00+00:00,20.3375,,51.24,518.6624999999999,68.0,0.0,0.0,0.3300000056624412,675.75,,1.0,12.6,75.0,1003.3,9.9,127.0,0.0,,0.0,,
5,SENS_3594E0,2026-03-04 15:30:00+00:00,20.49,,50.88,480.8866666666666,62.0,0.0,0.0,0.3266666730244954,663.0,,1.0,12.6,75.0,1003.3,9.9,127.0,0.0,,0.0,,
6,SENS_3594E0,2026-03-04 15:50:00+00:00,20.625,,50.685,421.7475,75.75,0.0,0.0,0.277500007301569,658.25,,1.0,12.5,77.0,1002.6,10.1,121.0,0.0,,0.0,,
7,SENS_3594E0,2026-03-04 16:00:00+00:00,20.626,,50.766,393.732,58.0,0.0,0.0,0.2380000025033951,654.2,,1.0,12.5,77.0,1002.6,10.1,121.0,0.0,,0.0,,
8,SENS_3594E0,2026-03-04 16:10:00+00:00,20.622,,50.85,362.532,65.6,0.0,0.0,0.1859999984502792,648.8,,1.0,12.5,77.0,1002.6,10.1,121.0,0.0,,0.0,,
9,SENS_3594E0,2026-03-04 16:20:00+00:00,20.51,,51.34,330.998,23.0,0.0,0.0,0.1780000001192093,657.8,,1.0,12.5,77.0,1002.6,10.1,121.0,0.0,,0.0,,
10,SENS_3594E0,2026-03-04 16:30:00+00:00,20.396,,51.804,334.12800000000004,27.4,0.0,0.0,0.1539999991655349,669.6,,1.0,12.5,77.0,1002.6,10.1,121.0,0.0,,0.0,,
11,SENS_3594E0,2026-03-04 16:40:00+00:00,20.33,,52.0,324.33,25.0,0.0,0.0,0.1299999952316284,658.0,,1.0,11.9,82.0,1002.0,9.8,122.0,0.0,,0.0,,
12,SENS_3594E0,2026-03-04 16:50:00+00:00,20.294,,52.556,263.53000000000003,59.8,0.0,0.0,0.0759999975562095,671.4,,1.0,11.9,82.0,1002.0,9.8,122.0,0.0,,0.0,,
13,SENS_3594E0,2026-03-04 17:00:00+00:00,20.26,,52.574,165.796,53.8,0.0,0.0,0.0239999994635581,670.0,,1.0,11.9,82.0,1002.0,9.8,122.0,0.0,,0.0,,
14,SENS_3594E0,2026-03-04 17:10:00+00:00,20.138,,53.04,95.664,69.4,0.0,0.0,0.0,669.4,,1.0,11.9,82.0,1002.0,9.8,122.0,0.0,,0.0,,
15,SENS_3594E0,2026-03-04 17:20:00+00:00,19.942,,53.602,69.66399999999999,66.8,0.0,0.0,0.0,668.4,,1.0,11.9,82.0,1002.0,9.8,122.0,0.0,,0.0,,
16,SENS_3594E0,2026-03-04 17:30:00+00:00,19.798,,54.084,46.262,61.0,0.0,0.0,0.0,668.6,,1.0,11.9,82.0,1002.0,9.8,122.0,0.0,,0.0,,
17,SENS_3594E0,2026-03-04 17:40:00+00:00,19.674,,54.408,26.198,62.6,0.0,0.0,0.0,667.2,,1.0,10.6,83.0,1001.7,10.9,129.0,0.0,,0.0,,
18,SENS_3594E0,2026-03-04 17:50:00+00:00,19.536,,55.064,11.796,51.2,0.0,0.0,0.0,669.2,,1.0,10.6,83.0,1001.7,10.9,129.0,0.0,,0.0,,
19,SENS_3594E0,2026-03-04 18:05:00+00:00,19.34,,55.61,2.33,54.0,0.0,0.0,0.0,668.0,,1.0,10.6,83.0,1001.7,10.9,129.0,0.0,,0.0,,
20,SENS_3594E0,2026-03-04 18:15:00+00:00,19.203333333333337,,56.00333333333333,0.33,71.0,0.0,0.0,0.0,663.0,,1.0,10.6,83.0,1001.7,10.9,129.0,0.0,,0.0,,
21,SENS_3594E0,2026-03-04 18:25:00+00:00,19.12,,56.146,0.264,70.4,0.0,0.0,0.0,651.0,,1.0,10.6,83.0,1001.7,10.9,129.0,0.0,,0.0,,
22,SENS_3594E0,2026-03-04 18:35:00+00:00,19.032000000000004,,56.498000000000005,0.066,59.2,0.0,0.0,0.0,653.2,,1.0,9.9,84.0,1001.7,11.8,134.0,0.0,,0.0,,
23,SENS_3594E0,2026-03-04 18:45:00+00:00,18.948,,56.698,0.0,67.4,0.0,0.0,0.0,652.2,,1.0,9.9,84.0,1001.7,11.8,134.0,0.0,,0.0,,
24,SENS_3594E0,2026-03-04 18:55:00+00:00,18.878,,56.884,0.0,59.8,0.0,0.0,0.0,644.4,,1.0,9.9,84.0,1001.7,11.8,134.0,0.0,,0.0,,
25,SENS_3594E0,2026-03-04 19:05:00+00:00,18.822,,56.872,0.0,24.6,0.0,0.0,0.0,628.4,,1.0,9.9,84.0,1001.7,11.8,134.0,0.0,,0.0,,
26,SENS_3594E0,2026-03-04 19:15:00+00:00,18.748,,56.986,0.0,24.2,0.0,0.0,0.0,619.6,,1.0,9.9,84.0,1001.7,11.8,134.0,0.0,,0.0,,
27,SENS_3594E0,2026-03-04 19:25:00+00:00,18.726,,57.288,0.198,58.4,0.0,0.0,0.0,634.6,,1.0,9.9,84.0,1001.7,11.8,134.0,0.0,,0.0,,
28,SENS_3594E0,2026-03-04 19:45:00+00:00,18.6225,,57.4225,0.0,66.75,0.0,0.0,0.0,613.5,,1.0,9.4,86.0,1001.5,12.5,136.0,0.0,,0.0,,
29,SENS_3594E0,2026-03-04 19:55:00+00:00,18.574,,57.528,0.0,62.0,0.0,0.0,0.0,612.0,,1.0,9.4,86.0,1001.5,12.5,136.0,0.0,,0.0,,
30,SENS_3594E0,2026-03-04 20:10:00+00:00,18.47,,57.67999999999999,0.066,55.8,0.0,0.0,0.0,602.2,,1.0,9.4,86.0,1001.5,12.5,136.0,0.0,,0.0,,
31,SENS_3594E0,2026-03-04 20:20:00+00:00,18.398000000000003,,58.172,0.0,86.2,0.0,0.0,0.0,625.6,,1.0,9.4,86.0,1001.5,12.5,136.0,0.0,,0.0,,
32,SENS_3594E0,2026-03-04 20:30:00+00:00,18.33666666666667,,58.080000000000005,0.0,65.66666666666666,0.0,0.0,0.0,624.6666666666666,,1.0,9.4,86.0,1001.5,12.5,136.0,0.0,,0.0,,
33,SENS_3594E0,2026-03-04 20:40:00+00:00,18.31,,58.035,0.0,68.25,0.0,0.0,0.0,616.75,,1.0,9.0,87.0,1001.1,13.5,138.0,0.0,,0.0,,
34,SENS_3594E0,2026-03-04 20:50:00+00:00,18.29,,57.970000000000006,0.0,59.8,0.0,0.0,0.0,610.0,,1.0,9.0,87.0,1001.1,13.5,138.0,0.0,,0.0,,
35,SENS_3594E0,2026-03-04 21:00:00+00:00,18.258000000000003,,58.0,0.0,66.6,0.0,0.0,0.0,607.4,,1.0,9.0,87.0,1001.1,13.5,138.0,0.0,,0.0,,
36,SENS_3594E0,2026-03-04 21:10:00+00:00,18.228,,58.08,0.0,69.4,0.0,0.0,0.0,600.0,,1.0,9.0,87.0,1001.1,13.5,138.0,0.0,,0.0,,
37,SENS_3594E0,2026-03-04 21:20:00+00:00,18.1975,,57.96,0.0,27.25,0.0,0.0,0.0,607.25,,1.0,9.0,87.0,1001.1,13.5,138.0,0.0,,0.0,,
38,SENS_3594E0,2026-03-04 21:30:00+00:00,18.145,,57.8625,0.0,19.75,0.0,0.0,0.0,583.25,,1.0,9.0,87.0,1001.1,13.5,138.0,0.0,,0.0,,
39,SENS_3594E0,2026-03-04 21:40:00+00:00,18.084,,58.038,0.0,22.4,0.0,0.0,0.0,587.0,,1.0,8.7,88.0,1000.7,14.2,142.0,0.0,,0.0,,
40,SENS_3594E0,2026-03-04 21:50:00+00:00,18.048,,58.12199999999999,0.0,22.2,0.0,0.0,0.0,590.4,,1.0,8.7,88.0,1000.7,14.2,142.0,0.0,,0.0,,
41,SENS_3594E0,2026-03-04 22:05:00+00:00,18.052,,58.104,0.0,39.6,0.0,0.0,0.0,586.2,,1.0,8.7,88.0,1000.7,14.2,142.0,0.0,,0.0,,
42,SENS_3594E0,2026-03-04 22:15:00+00:00,18.044,,58.17,0.0,38.0,0.0,0.0,0.0,584.4,,1.0,8.7,88.0,1000.7,14.2,142.0,0.0,,0.0,,
43,SENS_3594E0,2026-03-04 22:35:00+00:00,18.006,,58.17,0.0,27.8,0.0,0.0,0.0,583.8,,1.0,8.2,87.0,999.8,13.8,144.0,0.0,,0.0,,
44,SENS_3594E0,2026-03-04 22:45:00+00:00,17.978,,58.184000000000005,0.0,43.6,0.0,0.0,0.0,584.4,,1.0,8.2,87.0,999.8,13.8,144.0,0.0,,0.0,,
45,SENS_3594E0,2026-03-04 22:55:00+00:00,17.964,,58.132000000000005,0.0,50.0,0.0,0.0,0.0,577.4,,1.0,8.2,87.0,999.8,13.8,144.0,0.0,,0.0,,
46,SENS_3594E0,2026-03-04 23:05:00+00:00,17.945,,58.2375,0.0,39.25,0.0,0.0,0.0,581.25,,1.0,8.2,87.0,999.8,13.8,144.0,0.0,,0.0,,
47,SENS_3594E0,2026-03-04 23:15:00+00:00,17.925,,58.2675,0.0,32.25,0.0,0.0,0.0,579.5,,1.0,8.2,87.0,999.8,13.8,144.0,0.0,,0.0,,
48,SENS_3594E0,2026-03-04 23:25:00+00:00,17.913999999999998,,58.24000000000001,0.0,38.0,0.0,0.0,0.0,577.0,,1.0,8.2,87.0,999.8,13.8,144.0,0.0,,0.0,,
49,SENS_3594E0,2026-03-04 23:35:00+00:00,17.919999999999998,,58.166,0.0,49.8,0.0,0.0,0.0,572.4,,1.0,7.6,91.0,999.7,11.8,146.0,0.0,,0.0,,
50,SENS_3594E0,2026-03-04 23:50:00+00:00,17.8775,,58.1425,0.0,53.25,0.0,0.0,0.0,565.0,,1.0,7.6,91.0,999.7,11.8,146.0,0.0,,0.0,,
51,SENS_3594E0,2026-03-05 00:00:00+00:00,17.883999999999997,,58.114,0.0,52.2,0.0,0.0,0.0,564.4,,1.0,7.6,91.0,999.7,11.8,146.0,0.0,,0.0,,
52,SENS_3594E0,2026-03-05 00:10:00+00:00,17.906,,57.934000000000005,0.0,32.8,0.0,0.0,0.0,556.2,,1.0,7.6,91.0,999.7,11.8,146.0,0.0,,0.0,,
53,SENS_3594E0,2026-03-05 00:20:00+00:00,17.9,,57.9,0.0,56.0,0.0,0.0,0.0,558.0,,1.0,7.6,91.0,999.7,11.8,146.0,0.0,,0.0,,
54,SENS_3594E0,2026-03-05 00:30:00+00:00,17.912,,57.824,0.0,30.6,0.0,0.0,0.0,552.0,,1.0,7.6,91.0,999.7,11.8,146.0,0.0,,0.0,,
55,SENS_3594E0,2026-03-05 00:40:00+00:00,17.898,,57.782,0.0,54.4,0.0,0.0,0.0,548.8,,1.0,7.2,90.0,999.1,11.2,148.0,0.0,,0.0,,
56,SENS_3594E0,2026-03-05 00:50:00+00:00,17.881999999999998,,57.742,0.0,45.4,0.0,0.0,0.0,549.0,,1.0,7.2,90.0,999.1,11.2,148.0,0.0,,0.0,,
57,SENS_3594E0,2026-03-05 01:00:00+00:00,17.848000000000003,,57.75599999999999,0.0,35.0,0.0,0.0,0.0,542.2,,1.0,7.2,90.0,999.1,11.2,148.0,0.0,,0.0,,
58,SENS_3594E0,2026-03-05 01:20:00+00:00,17.804,,57.856,0.0,24.6,0.0,0.0,0.0,546.8,,1.0,7.2,90.0,999.1,11.2,148.0,0.0,,0.0,,
59,SENS_3594E0,2026-03-05 01:30:00+00:00,17.805999999999997,,57.818000000000005,0.0,36.2,0.0,0.0,0.0,550.4,,1.0,7.2,90.0,999.1,11.2,148.0,0.0,,0.0,,
60,SENS_3594E0,2026-03-05 01:40:00+00:00,17.818,,57.798,0.0,39.0,0.0,0.0,0.0,544.4,,1.0,7.0,89.0,998.5,11.1,150.0,0.0,,0.0,,
61,SENS_3594E0,2026-03-05 01:50:00+00:00,17.796,,57.81400000000001,0.0,31.4,0.0,0.0,0.0,554.0,,1.0,7.0,89.0,998.5,11.1,150.0,0.0,,0.0,,
62,SENS_3594E0,2026-03-05 02:00:00+00:00,17.784,,57.794,0.0,59.8,0.0,0.0,0.0,557.8,,1.0,7.0,89.0,998.5,11.1,150.0,0.0,,0.0,,
63,SENS_3594E0,2026-03-05 02:10:00+00:00,17.78,,57.716,0.0,61.8,0.0,0.0,0.0,555.8,,1.0,7.0,89.0,998.5,11.1,150.0,0.0,,0.0,,
64,SENS_3594E0,2026-03-05 02:20:00+00:00,17.784,,57.654,0.0,59.2,0.0,0.0,0.0,551.6,,1.0,7.0,89.0,998.5,11.1,150.0,0.0,,0.0,,
65,SENS_3594E0,2026-03-05 02:30:00+00:00,17.804,,57.532,0.0,53.8,0.0,0.0,0.0,548.8,,1.0,7.0,89.0,998.5,11.1,150.0,0.0,,0.0,,
66,SENS_3594E0,2026-03-05 02:40:00+00:00,17.796,,57.502,0.0,46.2,0.0,0.0,0.0,549.4,,1.0,6.9,88.0,997.9,11.0,150.0,0.0,,0.0,,
67,SENS_3594E0,2026-03-05 02:50:00+00:00,17.776,,57.512,0.0,42.4,0.0,0.0,0.0,550.8,,1.0,6.9,88.0,997.9,11.0,150.0,0.0,,0.0,,
68,SENS_3594E0,2026-03-05 03:20:00+00:00,17.77,,57.492,0.0,31.8,0.0,0.0,0.0,555.4,,1.0,6.9,88.0,997.9,11.0,150.0,0.0,,0.0,,
69,SENS_3594E0,2026-03-05 03:30:00+00:00,17.75,,57.554,0.0,31.2,0.0,0.0,0.0,562.4,,1.0,6.9,88.0,997.9,11.0,150.0,0.0,,0.0,,
70,SENS_3594E0,2026-03-05 03:40:00+00:00,17.73,,57.356,0.0,39.4,0.0,0.0,0.0,543.8,,1.0,6.8,86.0,997.3,10.5,149.0,0.0,,0.0,,
71,SENS_3594E0,2026-03-05 03:50:00+00:00,17.72,,57.002,0.0,36.2,0.0,0.0,0.0,519.6,,1.0,6.8,86.0,997.3,10.5,149.0,0.0,,0.0,,
72,SENS_3594E0,2026-03-05 04:00:00+00:00,17.720000000000002,,56.902,0.0,10.6,0.0,0.0,0.0,516.0,,0.6,6.8,86.0,997.3,10.5,149.0,0.0,,0.0,,
73,SENS_3594E0,2026-03-05 04:10:00+00:00,17.73,,56.88,0.0,85.0,0.0,0.0,0.0,513.0,,1.0,6.8,86.0,997.3,10.5,149.0,0.0,,0.0,,
74,SENS_3594E0,2026-03-05 04:20:00+00:00,17.766,,56.988,0.0,38.4,0.0,0.0,0.0,534.8,,1.0,6.8,86.0,997.3,10.5,149.0,0.0,,0.0,,
75,SENS_3594E0,2026-03-05 04:30:00+00:00,17.754,,56.946000000000005,0.0,44.4,0.0,0.0,0.0,540.8,,1.0,6.8,86.0,997.3,10.5,149.0,0.0,,0.0,,
76,SENS_3594E0,2026-03-05 04:40:00+00:00,17.746,,56.674,0.0,52.4,0.0,0.0,0.0,525.0,,1.0,6.7,85.0,996.8,10.6,145.0,0.0,,0.0,,
77,SENS_3594E0,2026-03-05 04:50:00+00:00,17.702,,56.62800000000001,0.0,32.4,0.0,0.0,0.0,517.8,,1.0,6.7,85.0,996.8,10.6,145.0,0.0,,0.0,,
78,SENS_3594E0,2026-03-05 05:00:00+00:00,17.666,,56.662,0.0,32.8,0.0,0.0,0.0,516.2,,1.0,6.7,85.0,996.8,10.6,145.0,0.0,,0.0,,
79,SENS_3594E0,2026-03-05 05:20:00+00:00,17.65,,56.508,0.0,19.4,0.0,0.0,0.0,511.0,,0.0,6.7,85.0,996.8,10.6,145.0,0.0,,0.0,,
80,SENS_3594E0,2026-03-05 05:30:00+00:00,17.652,,56.45400000000001,0.0,19.2,0.0,0.0,0.0,508.8,,0.0,6.7,85.0,996.8,10.6,145.0,0.0,,0.0,,
81,SENS_3594E0,2026-03-05 05:40:00+00:00,17.66,,56.53,0.0,26.0,0.0,0.0,0.0,515.6,,1.0,6.1,87.0,996.7,9.7,145.0,0.0,,0.0,,
82,SENS_3594E0,2026-03-05 05:50:00+00:00,17.662,,56.45399999999999,0.0,41.8,0.0,0.0,0.0,514.8,,1.0,6.1,87.0,996.7,9.7,145.0,0.0,,0.0,,
83,SENS_3594E0,2026-03-05 06:00:00+00:00,17.648,,56.508,0.0,55.2,0.0,0.0,0.0,529.0,,1.0,6.1,87.0,996.7,9.7,145.0,0.0,,0.0,,
84,SENS_3594E0,2026-03-05 06:10:00+00:00,17.688,,56.766,0.264,79.8,0.0,0.0,0.0,526.0,,1.0,6.1,87.0,996.7,9.7,145.0,0.0,,0.0,,
85,SENS_3594E0,2026-03-05 06:20:00+00:00,17.73,,56.69499999999999,0.495,44.0,0.0,0.0,0.0,568.5,,1.0,6.1,87.0,996.7,9.7,145.0,0.0,,0.0,,
