index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,SENS_34D2CC,2025-09-29 12:20:00+00:00,20.03333333333333,,59.3,30.77333333333333,100.0,0.0,0.0,0.0266666660706202,1811.3333333333333,,1.0,14.4,66.0,1007.0,4.6,249.0,100.0,,0.0,,
1,SENS_34D2CC,2026-03-12 08:45:00+00:00,19.246,,66.458,6.128,98.6,0.0,0.0,0.007999999821186,1901.0,,1.0,8.6,78.0,988.4,28.0,201.0,100.0,,0.0,,
2,SENS_34D2CC,2026-03-12 08:55:00+00:00,20.705,,58.42,8.58,77.25,0.0,0.0,0.0,1689.0,,1.0,8.6,78.0,988.4,28.0,201.0,100.0,,0.0,,
3,SENS_34D2CC,2026-03-12 09:05:00+00:00,20.4,,52.97,11.33,49.0,0.0,0.0,0.0,1015.0,,1.0,8.6,78.0,988.4,28.0,201.0,100.0,,0.0,,
4,SENS_34D2CC,2026-03-12 09:15:00+00:00,20.764,,51.69799999999999,14.464,76.4,0.0,0.0,0.0,831.6,,1.0,8.6,78.0,988.4,28.0,201.0,100.0,,0.0,,
5,SENS_34D2CC,2026-03-12 09:25:00+00:00,21.172,,53.98199999999999,12.596,62.4,0.0,0.0,0.0,1051.4,,1.0,8.6,78.0,988.4,28.0,201.0,100.0,,0.0,,
6,SENS_34D2CC,2026-03-12 09:35:00+00:00,21.440000000000005,,55.384,11.063999999999998,65.0,0.0,0.0,0.0,1164.2,,1.0,9.0,81.0,987.4,24.1,190.0,100.0,,0.0,,
7,SENS_34D2CC,2026-03-12 09:45:00+00:00,21.282,,57.07000000000001,7.596000000000001,47.2,0.0,0.0,0.0,1268.6,,1.0,9.0,81.0,987.4,24.1,190.0,100.0,,0.0,,
8,SENS_34D2CC,2026-03-12 09:55:00+00:00,21.05,,58.002,10.464,63.4,0.0,0.0,0.0,1298.4,,1.0,9.0,81.0,987.4,24.1,190.0,100.0,,0.0,,
9,SENS_34D2CC,2026-03-12 10:15:00+00:00,20.762,,58.71,29.064,63.6,0.0,0.0,0.0159999996423721,1302.0,,1.0,9.0,81.0,987.4,24.1,190.0,100.0,,0.0,,
10,SENS_34D2CC,2026-03-12 10:25:00+00:00,20.512,,58.528,19.73,73.0,0.0,0.0,0.0,1211.0,,1.0,9.0,81.0,987.4,24.1,190.0,100.0,,0.0,,
11,SENS_34D2CC,2026-03-12 10:35:00+00:00,20.364,,58.916,14.929999999999998,92.0,0.0,0.0,0.0,1228.0,,1.0,9.5,84.0,985.6,25.7,186.0,100.0,,0.1,,
12,SENS_34D2CC,2026-03-12 10:45:00+00:00,20.228,,59.29599999999999,14.261999999999995,84.0,0.0,0.0,0.0,1219.0,,1.0,9.5,84.0,985.6,25.7,186.0,100.0,,0.1,,
13,SENS_34D2CC,2026-03-12 10:55:00+00:00,20.000000000000004,,60.334,10.398,42.4,0.0,0.0,0.0,1195.4,,1.0,9.5,84.0,985.6,25.7,186.0,100.0,,0.1,,
