index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,SENS_8A72E8,2025-09-29 12:10:00+00:00,19.934,,60.010000000000005,27.328,99.8,0.0,0.0,0.0399999991059303,1649.6,,1.0,14.4,66.0,1007.0,4.6,249.0,100.0,,0.0,,
1,SENS_8A72E8,2025-09-29 12:15:00+00:00,20.865,,57.795,23.165,99.5,0.0,0.0,0.0199999995529651,1711.5,,1.0,14.4,66.0,1007.0,4.6,249.0,100.0,,0.0,,
2,SENS_8A72E8,2026-03-11 09:10:00+00:00,22.714,,38.64,163.13000000000002,2.0,0.0,0.0,0.3799999892711639,385.6,,0.0,7.6,76.0,988.5,17.5,265.0,10.0,,0.0,,
3,SENS_8A72E8,2026-03-11 09:20:00+00:00,25.04,,33.356,178.59599999999998,2.0,0.0,0.0,0.35,398.2,,0.0,7.6,76.0,988.5,17.5,265.0,10.0,,0.0,,
4,SENS_8A72E8,2026-03-11 09:30:00+00:00,25.626666666666665,,31.98,223.33,2.0,0.0,0.0,0.4166666666666667,399.6666666666667,,0.0,7.6,76.0,988.5,17.5,265.0,10.0,,0.0,,
5,SENS_8A72E8,2026-03-11 09:40:00+00:00,25.75,,31.27,168.66,2.0,0.0,0.0,0.2599999904632568,396.0,,0.0,8.4,71.0,989.5,20.2,270.0,13.0,,0.0,,
6,SENS_8A72E8,2026-03-11 09:50:00+00:00,25.942,,31.138,249.532,2.0,0.0,0.0,0.4059999942779541,393.8,,0.0,8.4,71.0,989.5,20.2,270.0,13.0,,0.0,,
7,SENS_8A72E8,2026-03-11 10:05:00+00:00,25.98,,30.93,379.398,2.0,0.0,0.0,0.3619999945163726,400.8,,0.0,8.4,71.0,989.5,20.2,270.0,13.0,,0.0,,
8,SENS_8A72E8,2026-03-11 10:15:00+00:00,25.982,,30.712,419.46400000000006,2.0,0.0,0.0,0.8039999902248383,399.0,,0.0,8.4,71.0,989.5,20.2,270.0,13.0,,0.0,,
9,SENS_8A72E8,2026-03-11 10:25:00+00:00,26.046,,30.738,690.3979999999999,2.0,0.0,0.0,1.3519999742507935,394.6,,0.0,8.4,71.0,989.5,20.2,270.0,13.0,,0.0,,
10,SENS_8A72E8,2026-03-11 10:35:00+00:00,26.286,,30.536,838.798,2.0,0.0,0.0,1.4960000187158584,393.8,,0.0,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
11,SENS_8A72E8,2026-03-11 10:45:00+00:00,26.325,,29.495,140.82999999999998,6.0,0.0,0.0,0.1899999976158142,403.5,,1.0,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
12,SENS_8A72E8,2026-03-11 10:55:00+00:00,24.796,,29.328,1266.664,36.0,0.0,0.0,2.1859999656677247,447.4,,1.0,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
13,SENS_8A72E8,2026-03-11 11:05:00+00:00,25.854000000000003,,29.23,664.9300000000001,15.2,0.0,0.0,1.4120000004768372,518.8,,0.8,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
14,SENS_8A72E8,2026-03-11 11:15:00+00:00,26.28,,29.292,2342.662,26.8,0.0,0.0,3.578000020980835,559.8,,1.0,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
15,SENS_8A72E8,2026-03-11 11:25:00+00:00,26.544,,29.426,180.196,12.0,0.0,0.0,0.3599999964237213,645.8,,1.0,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
16,SENS_8A72E8,2026-03-11 11:35:00+00:00,27.034,,29.286,3365.132,10.6,0.0,0.0,5.515999889373779,655.4,,0.4,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
17,SENS_8A72E8,2026-03-11 11:50:00+00:00,27.93,,28.18,3738.13,7.6,0.0,0.0,5.263999938964844,665.4,,1.0,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
18,SENS_8A72E8,2026-03-11 12:00:00+00:00,27.19,,29.658000000000005,1237.396,13.6,0.0,0.0,2.076000063121319,761.0,,0.6,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
19,SENS_8A72E8,2026-03-11 12:10:00+00:00,26.98,,32.898,740.996,13.4,0.0,0.0,1.1259999990463256,1072.8,,0.0,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
20,SENS_8A72E8,2026-03-11 12:20:00+00:00,27.236,,34.604,1002.328,11.0,0.0,0.0,1.6380000114440918,1198.6,,0.0,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
21,SENS_8A72E8,2026-03-11 12:30:00+00:00,27.232,,34.69199999999999,267.064,16.8,0.0,0.0,0.3940000057220459,1193.0,,0.6,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
22,SENS_8A72E8,2026-03-11 12:50:00+00:00,26.5925,,34.787499999999994,354.5825,14.5,0.0,0.0,0.4949999898672104,1071.75,,1.0,10.1,55.0,991.7,21.2,270.0,27.0,,0.0,,
23,SENS_8A72E8,2026-03-11 13:00:00+00:00,26.64,,34.592,339.33000000000004,2.0,0.0,0.0,0.5159999966621399,1024.0,,0.4,10.1,55.0,991.7,21.2,270.0,27.0,,0.0,,
24,SENS_8A72E8,2026-03-11 13:10:00+00:00,26.77,,32.952,394.596,2.0,0.0,0.0,0.7240000128746032,882.2,,0.0,10.1,55.0,991.7,21.2,270.0,27.0,,0.0,,
25,SENS_8A72E8,2026-03-11 13:25:00+00:00,26.876,,31.18,723.1299999999999,2.0,0.0,0.0,1.0119999766349792,710.8,,0.0,10.1,55.0,991.7,21.2,270.0,27.0,,0.0,,
26,SENS_8A72E8,2026-03-11 13:35:00+00:00,27.05,,30.602,1335.596,4.0,0.0,0.0,2.559999942779541,656.4,,0.2,10.0,55.0,992.3,21.2,270.0,25.0,,0.0,,
27,SENS_8A72E8,2026-03-11 13:45:00+00:00,27.3,,29.01,1265.996,6.8,0.0,0.0,2.515999984741211,631.6,,1.0,10.0,55.0,992.3,21.2,270.0,25.0,,0.0,,
28,SENS_8A72E8,2026-03-11 13:55:00+00:00,27.358,,29.03,951.064,2.0,0.0,0.0,1.733999991416931,574.8,,0.0,10.0,55.0,992.3,21.2,270.0,25.0,,0.0,,
29,SENS_8A72E8,2026-03-11 14:05:00+00:00,27.274,,28.92,1127.864,2.0,0.0,0.0,2.2119999647140505,549.0,,0.0,10.0,55.0,992.3,21.2,270.0,25.0,,0.0,,
30,SENS_8A72E8,2026-03-11 14:15:00+00:00,27.25,,28.95,572.66,2.0,0.0,0.0,0.7799999713897705,531.0,,0.0,10.0,55.0,992.3,21.2,270.0,25.0,,0.0,,
31,SENS_8A72E8,2026-03-11 14:25:00+00:00,27.25,,28.885,1060.745,2.0,0.0,0.0,2.169999957084656,508.75,,0.0,10.0,55.0,992.3,21.2,270.0,25.0,,0.0,,
32,SENS_8A72E8,2026-03-11 14:40:00+00:00,27.082,,28.654000000000003,367.33,2.0,0.0,0.0,0.4479999899864196,481.6,,0.0,9.9,55.0,993.0,21.2,270.0,53.0,,0.0,,
33,SENS_8A72E8,2026-03-11 14:50:00+00:00,26.95,,28.594,500.128,2.0,0.0,0.0,0.8380000054836273,471.6,,0.0,9.9,55.0,993.0,21.2,270.0,53.0,,0.0,,
34,SENS_8A72E8,2026-03-11 15:00:00+00:00,26.84,,28.462,311.33,2.0,0.0,0.0,0.5320000052452087,458.4,,0.0,9.9,55.0,993.0,21.2,270.0,53.0,,0.0,,
35,SENS_8A72E8,2026-03-11 15:10:00+00:00,26.796,,28.504,1139.332,2.0,0.0,0.0,2.1339999794960023,446.8,,0.0,9.9,55.0,993.0,21.2,270.0,53.0,,0.0,,
36,SENS_8A72E8,2026-03-11 15:20:00+00:00,26.790000000000003,,28.42,1039.798,2.0,0.0,0.0,1.9839999794960024,441.6,,0.0,9.9,55.0,993.0,21.2,270.0,53.0,,0.0,,
37,SENS_8A72E8,2026-03-11 15:30:00+00:00,27.072000000000003,,28.308,1248.862,2.0,0.0,0.0,2.533999967575073,437.4,,0.0,9.9,55.0,993.0,21.2,270.0,53.0,,0.0,,
38,SENS_8A72E8,2026-03-11 15:40:00+00:00,27.275,,28.045,1205.8275,2.0,0.0,0.0,2.377500057220459,434.75,,0.0,9.4,61.0,993.7,15.7,261.0,12.0,,0.0,,
39,SENS_8A72E8,2026-03-11 15:50:00+00:00,27.36,,27.986666666666665,950.33,2.0,0.0,0.0,1.863333384195964,434.6666666666667,,0.0,9.4,61.0,993.7,15.7,261.0,12.0,,0.0,,
40,SENS_8A72E8,2026-03-11 16:05:00+00:00,27.2,,28.24,840.132,2.0,0.0,0.0,1.5320000171661377,429.2,,0.0,9.4,61.0,993.7,15.7,261.0,12.0,,0.0,,
41,SENS_8A72E8,2026-03-11 16:15:00+00:00,27.124,,27.89,1005.062,7.4,0.0,0.0,2.1,422.4,,1.0,9.4,61.0,993.7,15.7,261.0,12.0,,0.0,,
42,SENS_8A72E8,2026-03-11 16:25:00+00:00,27.03,,28.309999999999995,455.662,6.0,0.0,0.0,0.8059999853372574,451.8,,0.6,9.4,61.0,993.7,15.7,261.0,12.0,,0.0,,
43,SENS_8A72E8,2026-03-11 16:35:00+00:00,27.042,,28.294,681.596,2.0,0.0,0.0,1.4900000095367432,462.4,,0.0,8.9,64.0,994.5,16.2,262.0,47.0,,0.0,,
44,SENS_8A72E8,2026-03-11 16:45:00+00:00,26.99,,28.545,494.33,2.0,0.0,0.0,1.1050000190734863,455.5,,0.0,8.9,64.0,994.5,16.2,262.0,47.0,,0.0,,
45,SENS_8A72E8,2026-03-11 16:55:00+00:00,26.96,,28.636666666666667,299.4433333333333,2.0,0.0,0.0,0.6766666571299235,444.6666666666667,,0.0,8.9,64.0,994.5,16.2,262.0,47.0,,0.0,,
46,SENS_8A72E8,2026-03-11 17:05:00+00:00,26.855,,28.475,179.99750000000003,2.0,0.0,0.0,0.3549999967217445,438.5,,0.0,8.9,64.0,994.5,16.2,262.0,47.0,,0.0,,
47,SENS_8A72E8,2026-03-11 17:20:00+00:00,26.620000000000005,,28.622000000000003,57.996,2.0,0.0,0.0,0.0339999988675117,426.4,,0.0,8.9,64.0,994.5,16.2,262.0,47.0,,0.0,,
48,SENS_8A72E8,2026-03-11 17:30:00+00:00,26.506,,28.590000000000003,40.196,6.6,0.0,0.0,0.0,422.6,,0.2,8.9,64.0,994.5,16.2,262.0,47.0,,0.0,,
49,SENS_8A72E8,2026-03-11 17:40:00+00:00,26.348000000000003,,29.356,24.196,2.0,0.0,0.0,0.0,560.0,,0.0,7.9,67.0,995.4,12.3,252.0,16.0,,0.0,,
50,SENS_8A72E8,2026-03-11 17:50:00+00:00,26.445,,33.105000000000004,11.665,2.0,0.0,0.0,0.0,922.0,,0.0,7.9,67.0,995.4,12.3,252.0,16.0,,0.0,,
51,SENS_8A72E8,2026-03-11 18:00:00+00:00,26.41,,38.315,28.665,2.0,0.0,0.0,0.0,1179.5,,0.0,7.9,67.0,995.4,12.3,252.0,16.0,,0.0,,
52,SENS_8A72E8,2026-03-11 18:10:00+00:00,26.332,,38.714,24.598,15.4,0.0,0.0,0.0,1190.6,,0.6,7.9,67.0,995.4,12.3,252.0,16.0,,0.0,,
53,SENS_8A72E8,2026-03-11 18:20:00+00:00,26.266,,38.03,23.528,17.0,0.0,0.0,0.0,1130.0,,0.4,7.9,67.0,995.4,12.3,252.0,16.0,,0.0,,
54,SENS_8A72E8,2026-03-11 18:35:00+00:00,26.160000000000004,,35.059999999999995,23.0,28.8,0.0,0.0,0.0,921.4,,1.0,6.9,70.0,995.9,10.9,236.0,36.0,,0.0,,
55,SENS_8A72E8,2026-03-11 18:45:00+00:00,25.602000000000004,,35.748,23.33,2.0,0.0,0.0,0.0,890.4,,0.0,6.9,70.0,995.9,10.9,236.0,36.0,,0.0,,
