index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,EyeSense:B4:3A:45:49:AB:88,2025-09-29 12:55:00+00:00,20.43,,60.114,34.395999999999994,100.0,0.0,0.0,0.1119999960064888,1649.0,,1.0,15.4,58.0,1007.1,4.7,277.0,100.0,,0.0,,
1,EyeSense:B4:3A:45:49:AB:88,2026-02-12 21:35:00+00:00,19.5175,,52.59,11.165,59.0,0.0,0.0,0.0,644.5,,1.0,3.9,97.0,970.7,12.1,93.0,100.0,,0.4,,
2,EyeSense:B4:3A:45:49:AB:88,2026-02-12 21:45:00+00:00,21.648000000000003,,44.474,11.0,4.4,0.0,0.0,0.0,555.4,,0.0,3.9,97.0,970.7,12.1,93.0,100.0,,0.4,,
3,EyeSense:B4:3A:45:49:AB:88,2026-02-12 21:55:00+00:00,22.868,,41.536,9.8,26.6,0.0,0.0,0.0,574.0,,1.0,3.9,97.0,970.7,12.1,93.0,100.0,,0.4,,
4,EyeSense:B4:3A:45:49:AB:88,2026-02-12 22:05:00+00:00,23.698,,40.02,12.73,14.8,0.0,0.0,0.0,632.4,,1.0,3.9,97.0,970.7,12.1,93.0,100.0,,0.4,,
5,EyeSense:B4:3A:45:49:AB:88,2026-02-12 22:15:00+00:00,24.064,,39.744,11.86,77.2,0.0,0.0,0.0,692.2,,1.0,3.9,97.0,970.7,12.1,93.0,100.0,,0.4,,
6,EyeSense:B4:3A:45:49:AB:88,2026-02-12 22:35:00+00:00,24.55,,39.03,10.0,3.0,0.0,0.0,0.0,839.0,,1.0,3.7,98.0,970.6,12.6,92.0,100.0,,0.8,,
7,EyeSense:B4:3A:45:49:AB:88,2026-02-12 22:45:00+00:00,24.546,,40.058,5.332,21.0,0.0,0.0,0.0,870.2,,1.0,3.7,98.0,970.6,12.6,92.0,100.0,,0.8,,
8,EyeSense:B4:3A:45:49:AB:88,2026-02-12 22:55:00+00:00,24.62,,39.034,0.0,4.4,0.0,0.0,0.0,827.8,,0.0,3.7,98.0,970.6,12.6,92.0,100.0,,0.8,,
9,EyeSense:B4:3A:45:49:AB:88,2026-02-12 23:05:00+00:00,24.584000000000003,,38.86,0.0,4.2,0.0,0.0,0.0,839.2,,0.0,3.7,98.0,970.6,12.6,92.0,100.0,,0.8,,
