index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,EyeSense:B4:3A:45:49:AC:20,2025-09-29 10:45:00+00:00,18.98,,59.650000000000006,27.83,100.0,0.0,0.0,0.0399999991059303,1255.5,,1.0,13.6,71.0,1007.4,3.5,249.0,100.0,,0.0,,
1,EyeSense:B4:3A:45:49:AC:20,2025-09-29 10:50:00+00:00,20.07,,58.220000000000006,27.728,100.0,0.0,0.0,0.0399999991059303,1323.0,,1.0,13.6,71.0,1007.4,3.5,249.0,100.0,,0.0,,
2,EyeSense:B4:3A:45:49:AC:20,2025-09-29 10:55:00+00:00,21.203333333333333,,56.70666666666667,27.55,100.0,0.0,0.0,0.0399999991059303,1359.6666666666667,,1.0,13.6,71.0,1007.4,3.5,249.0,100.0,,0.0,,
3,EyeSense:B4:3A:45:49:AC:20,2026-01-29 08:30:00+00:00,20.87,,55.82,5.66,100.0,0.0,0.0,0.0,1160.0,,1.0,2.2,100.0,978.5,14.7,115.0,100.0,,0.0,,
4,EyeSense:B4:3A:45:49:AC:20,2026-01-29 08:40:00+00:00,23.206,,51.10600000000001,6.132,99.0,0.0,0.0,0.0159999996423721,1197.6,,1.0,2.7,98.0,978.4,15.5,116.0,100.0,,0.0,,
5,EyeSense:B4:3A:45:49:AC:20,2026-01-29 08:50:00+00:00,25.044000000000004,,45.574,5.998,95.4,0.0,0.0,0.007999999821186,1226.6,,1.0,2.7,98.0,978.4,15.5,116.0,100.0,,0.0,,
6,EyeSense:B4:3A:45:49:AC:20,2026-01-29 09:00:00+00:00,25.576,,43.774,6.396,100.0,0.0,0.0,0.0159999996423721,1228.4,,1.0,2.7,98.0,978.4,15.5,116.0,100.0,,0.0,,
7,EyeSense:B4:3A:45:49:AC:20,2026-01-29 09:10:00+00:00,25.984,,42.048,7.132,96.2,0.0,0.0,0.0239999994635581,1205.2,,1.0,2.7,98.0,978.4,15.5,116.0,100.0,,0.0,,
8,EyeSense:B4:3A:45:49:AC:20,2026-01-29 09:20:00+00:00,26.122,,40.976000000000006,7.132,91.4,0.0,0.0,0.0319999992847442,1188.4,,1.0,2.7,98.0,978.4,15.5,116.0,100.0,,0.0,,
9,EyeSense:B4:3A:45:49:AC:20,2026-01-29 09:30:00+00:00,26.275,,40.52,4.8325,99.75,0.0,0.0,0.0,1192.25,,1.0,2.7,98.0,978.4,15.5,116.0,100.0,,0.0,,
