index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,EyeSense:B4:3A:45:49:B8:50,2025-09-29 13:10:00+00:00,20.1875,,60.16499999999999,62.4125,100.0,0.0,0.0,0.1599999964237213,2026.5,,1.0,15.4,58.0,1007.1,4.7,277.0,100.0,,0.0,,
1,EyeSense:B4:3A:45:49:B8:50,2026-01-21 08:35:00+00:00,18.62,,52.86,13.665,99.0,0.0,0.0,0.1700000017881393,1348.5,,1.0,4.7,91.0,970.9,20.2,126.0,100.0,,0.1,,
2,EyeSense:B4:3A:45:49:B8:50,2026-01-21 08:50:00+00:00,17.81,,54.28,1.0,4.0,0.0,0.0,0.0,1320.0,,0.0,4.7,91.0,970.9,20.2,126.0,100.0,,0.1,,
3,EyeSense:B4:3A:45:49:B8:50,2026-01-21 09:00:00+00:00,17.922,,53.804,2.198,4.4,0.0,0.0,0.0,1337.4,,0.0,4.7,91.0,970.9,20.2,126.0,100.0,,0.1,,
4,EyeSense:B4:3A:45:49:B8:50,2026-01-21 09:10:00+00:00,17.932,,53.63,8.797999999999998,4.4,0.0,0.0,0.0,1338.8,,0.0,4.7,91.0,970.9,20.2,126.0,100.0,,0.1,,
5,EyeSense:B4:3A:45:49:B8:50,2026-01-21 09:20:00+00:00,17.883999999999997,,53.866,5.529999999999999,3.8,0.0,0.0,0.0,1361.8,,0.6,4.7,91.0,970.9,20.2,126.0,100.0,,0.1,,
6,EyeSense:B4:3A:45:49:B8:50,2026-01-21 09:30:00+00:00,17.838,,53.742,5.33,3.8,0.0,0.0,0.0,1331.2,,0.0,4.7,91.0,970.9,20.2,126.0,100.0,,0.1,,
7,EyeSense:B4:3A:45:49:B8:50,2026-01-21 09:40:00+00:00,17.752000000000002,,53.786,5.395999999999999,3.8,0.0,0.0,0.0,1307.6,,0.0,5.1,94.0,969.1,22.8,115.0,100.0,,0.8,,
8,EyeSense:B4:3A:45:49:B8:50,2026-01-21 09:50:00+00:00,17.87,,53.43,2.745,3.75,0.0,0.0,0.0,1289.75,,0.0,5.1,94.0,969.1,22.8,115.0,100.0,,0.8,,
9,EyeSense:B4:3A:45:49:B8:50,2026-01-21 10:00:00+00:00,17.689999999999998,,53.802,2.932,3.6,0.0,0.0,0.0,1290.6,,0.0,5.1,94.0,969.1,22.8,115.0,100.0,,0.8,,
10,EyeSense:B4:3A:45:49:B8:50,2026-01-21 10:10:00+00:00,17.54,,54.29,3.596,3.2,0.0,0.0,0.0,1283.8,,0.0,5.1,94.0,969.1,22.8,115.0,100.0,,0.8,,
