index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,SENS_3595F0,2025-09-29 11:00:00+00:00,19.38,,57.58,20.83,100.0,0.0,0.0,0.0799999982118606,1491.0,,1.0,13.6,71.0,1007.4,3.5,249.0,100.0,,0.0,,
1,SENS_3595F0,2025-09-29 11:05:00+00:00,19.692,,57.262,23.864,98.8,0.0,0.0,0.0999999970197677,1484.6,,1.0,13.6,71.0,1007.4,3.5,249.0,100.0,,0.0,,
2,SENS_3595F0,2025-09-29 11:10:00+00:00,21.144,,53.33,24.598,92.0,0.0,0.0,0.0799999982118606,1499.2,,1.0,13.6,71.0,1007.4,3.5,249.0,100.0,,0.0,,
3,SENS_3595F0,2025-09-29 11:15:00+00:00,22.42333333333333,,50.03666666666666,25.886666666666667,56.33333333333333,0.0,0.0,0.0799999982118606,1518.0,,1.0,13.6,71.0,1007.4,3.5,249.0,100.0,,0.0,,
4,SENS_3595F0,2026-03-10 09:00:00+00:00,17.22,,48.49,27.66,100.0,0.0,0.0,0.0799999982118606,610.0,,1.0,6.4,90.0,995.3,10.6,201.0,85.0,,0.0,,
5,SENS_3595F0,2026-03-10 09:10:00+00:00,18.082,,51.912,32.532,100.0,0.0,0.0,0.1099999964237213,659.8,,1.0,6.4,90.0,995.3,10.6,201.0,85.0,,0.0,,
6,SENS_3595F0,2026-03-10 09:20:00+00:00,19.133333333333336,,54.79,41.33,100.0,0.0,0.0,0.1299999952316284,692.0,,1.0,6.4,90.0,995.3,10.6,201.0,85.0,,0.0,,
7,SENS_3595F0,2026-03-10 09:30:00+00:00,18.86,,51.11,42.196,51.0,0.0,0.0,0.1619999945163726,652.4,,1.0,6.4,90.0,995.3,10.6,201.0,85.0,,0.0,,
8,SENS_3595F0,2026-03-10 09:40:00+00:00,19.092,,48.746,45.328,84.0,0.0,0.0,0.1779999941587448,615.0,,1.0,8.1,80.0,995.2,17.8,211.0,100.0,,0.0,,
9,SENS_3595F0,2026-03-10 09:50:00+00:00,19.11,,47.758,41.996,64.4,0.0,0.0,0.1619999945163726,596.2,,1.0,8.1,80.0,995.2,17.8,211.0,100.0,,0.0,,
10,SENS_3595F0,2026-03-10 10:00:00+00:00,19.048,,47.076,38.13199999999999,66.2,0.0,0.0,0.1199999958276748,583.2,,1.0,8.1,80.0,995.2,17.8,211.0,100.0,,0.0,,
11,SENS_3595F0,2026-03-10 10:10:00+00:00,18.9,,46.868,45.53,72.8,0.0,0.0,0.1779999941587448,560.2,,1.0,8.1,80.0,995.2,17.8,211.0,100.0,,0.0,,
12,SENS_3595F0,2026-03-10 10:20:00+00:00,18.676,,47.224,54.862,57.6,0.0,0.0,0.2039999932050705,556.6,,1.0,8.1,80.0,995.2,17.8,211.0,100.0,,0.0,,
13,SENS_3595F0,2026-03-10 10:30:00+00:00,18.416,,47.522000000000006,53.396,60.2,0.0,0.0,0.2039999932050705,563.6,,1.0,8.1,80.0,995.2,17.8,211.0,100.0,,0.0,,
14,SENS_3595F0,2026-03-10 10:50:00+00:00,18.19,,48.11,94.0,53.0,0.0,0.0,0.3899999856948852,568.0,,1.0,8.4,78.0,994.8,19.3,212.0,100.0,,0.0,,
15,SENS_3595F0,2026-03-10 11:00:00+00:00,17.54,,49.99,75.33,100.0,0.0,0.0,0.2599999904632568,488.4,,1.0,8.4,78.0,994.8,19.3,212.0,100.0,,0.0,,
16,SENS_3595F0,2026-03-10 11:10:00+00:00,18.038,,56.028,75.39399999999999,96.8,0.0,0.0,0.2599999904632568,954.4,,1.0,8.4,78.0,994.8,19.3,212.0,100.0,,0.0,,
17,SENS_3595F0,2026-03-10 11:20:00+00:00,18.464,,71.92999999999999,94.596,80.8,0.0,0.0,0.35,1288.4,,1.0,8.4,78.0,994.8,19.3,212.0,100.0,,0.0,,
18,SENS_3595F0,2026-03-10 11:30:00+00:00,19.135,,73.2875,71.5775,100.0,0.0,0.0,0.2474999912083149,1323.5,,1.0,8.4,78.0,994.8,19.3,212.0,100.0,,0.0,,
19,SENS_3595F0,2026-03-10 11:45:00+00:00,19.026,,57.646,71.796,100.0,0.0,0.0,0.2559999942779541,736.8,,1.0,9.1,75.0,994.3,19.3,214.0,63.0,,0.0,,
20,SENS_3595F0,2026-03-10 11:55:00+00:00,18.945,,54.205,49.66,56.0,0.0,0.0,0.1699999943375587,597.75,,1.0,9.1,75.0,994.3,19.3,214.0,63.0,,0.0,,
21,SENS_3595F0,2026-03-10 12:05:00+00:00,18.822000000000003,,53.338,47.194,31.8,0.0,0.0,0.1779999941587448,548.2,,1.0,9.1,75.0,994.3,19.3,214.0,63.0,,0.0,,
22,SENS_3595F0,2026-03-10 12:15:00+00:00,18.904,,51.89,49.598,6.4,0.0,0.0,0.1299999952316284,502.6,,0.6,9.1,75.0,994.3,19.3,214.0,63.0,,0.0,,
23,SENS_3595F0,2026-03-10 12:25:00+00:00,19.3225,,49.7925,56.33,12.0,0.0,0.0,0.209999993443489,491.5,,1.0,9.1,75.0,994.3,19.3,214.0,63.0,,0.0,,
24,SENS_3595F0,2026-03-10 12:35:00+00:00,19.278,,48.36000000000001,36.92999999999999,13.8,0.0,0.0,0.1199999958276748,487.4,,1.0,10.1,67.0,993.5,21.5,211.0,73.0,,0.0,,
25,SENS_3595F0,2026-03-10 12:45:00+00:00,19.152,,47.922,45.73,14.0,0.0,0.0,0.1459999948740005,464.2,,1.0,10.1,67.0,993.5,21.5,211.0,73.0,,0.0,,
26,SENS_3595F0,2026-03-10 12:55:00+00:00,18.976,,47.374,44.062,19.6,0.0,0.0,0.1459999948740005,451.0,,1.0,10.1,67.0,993.5,21.5,211.0,73.0,,0.0,,
27,SENS_3595F0,2026-03-10 13:05:00+00:00,17.814,,47.698,53.664,28.6,0.0,0.0,0.209999993443489,452.8,,1.0,10.1,67.0,993.5,21.5,211.0,73.0,,0.0,,
28,SENS_3595F0,2026-03-10 13:15:00+00:00,18.512,,47.092,62.666,21.0,0.0,0.0,0.2039999932050705,593.4,,1.0,10.1,67.0,993.5,21.5,211.0,73.0,,0.0,,
29,SENS_3595F0,2026-03-10 13:25:00+00:00,18.664,,46.892,44.93,14.4,0.0,0.0,0.1619999945163726,624.2,,1.0,10.1,67.0,993.5,21.5,211.0,73.0,,0.0,,
30,SENS_3595F0,2026-03-10 13:35:00+00:00,18.630000000000003,,46.802,117.06199999999998,17.8,0.0,0.0,0.3400000035762787,627.2,,1.0,10.4,64.0,992.5,20.9,212.0,100.0,,0.0,,
31,SENS_3595F0,2026-03-10 13:45:00+00:00,18.450000000000003,,47.315,57.495,31.0,0.0,0.0,0.209999993443489,642.0,,1.0,10.4,64.0,992.5,20.9,212.0,100.0,,0.0,,
32,SENS_3595F0,2026-03-10 13:55:00+00:00,18.112,,47.06,67.52799999999999,25.6,0.0,0.0,0.2459999948740005,601.0,,1.0,10.4,64.0,992.5,20.9,212.0,100.0,,0.0,,
33,SENS_3595F0,2026-03-10 14:05:00+00:00,17.98,,46.822,38.19599999999999,27.6,0.0,0.0,0.1299999952316284,566.2,,1.0,10.4,64.0,992.5,20.9,212.0,100.0,,0.0,,
34,SENS_3595F0,2026-03-10 14:15:00+00:00,17.895999999999997,,46.894,43.864,20.6,0.0,0.0,0.1619999945163726,556.2,,1.0,10.4,64.0,992.5,20.9,212.0,100.0,,0.0,,
35,SENS_3595F0,2026-03-10 14:25:00+00:00,17.823999999999998,,46.848,66.062,16.6,0.0,0.0,0.213999992609024,537.8,,1.0,10.4,64.0,992.5,20.9,212.0,100.0,,0.0,,
36,SENS_3595F0,2026-03-10 14:45:00+00:00,18.314,,47.828,46.33,5.0,0.0,0.0,0.1299999952316284,648.8,,0.2,10.1,67.0,991.7,21.7,209.0,100.0,,0.0,,
37,SENS_3595F0,2026-03-10 14:55:00+00:00,18.784,,50.248000000000005,83.332,44.6,0.0,0.0,0.2459999948740005,971.2,,1.0,10.1,67.0,991.7,21.7,209.0,100.0,,0.0,,
38,SENS_3595F0,2026-03-10 15:10:00+00:00,19.566,,51.648,31.061999999999998,4.0,0.0,0.0,0.1199999958276748,1242.8,,0.4,10.1,67.0,991.7,21.7,209.0,100.0,,0.0,,
39,SENS_3595F0,2026-03-10 15:20:00+00:00,19.616000000000003,,51.168,54.79600000000001,3.0,0.0,0.0,0.1619999945163726,1227.8,,0.0,10.1,67.0,991.7,21.7,209.0,100.0,,0.0,,
40,SENS_3595F0,2026-03-10 15:30:00+00:00,19.715,,49.55,36.16,57.0,0.0,0.0,0.1299999952316284,1090.0,,1.0,10.1,67.0,991.7,21.7,209.0,100.0,,0.0,,
41,SENS_3595F0,2026-03-10 15:40:00+00:00,19.746666666666663,,47.26333333333333,23.216666666666665,73.33333333333333,0.0,0.0,0.0966666638851165,878.6666666666666,,1.0,9.9,71.0,990.7,18.6,196.0,77.0,,0.0,,
42,SENS_3595F0,2026-03-10 15:50:00+00:00,19.724,,45.502,17.395999999999997,72.6,0.0,0.0,0.0899999976158142,712.8,,1.0,9.9,71.0,990.7,18.6,196.0,77.0,,0.0,,
43,SENS_3595F0,2026-03-10 16:00:00+00:00,19.72,,44.458000000000006,29.398000000000003,89.2,0.0,0.0,0.1099999964237213,603.6,,1.0,9.9,71.0,990.7,18.6,196.0,77.0,,0.0,,
44,SENS_3595F0,2026-03-10 16:10:00+00:00,19.610000000000003,,46.622,36.796,100.0,0.0,0.0,0.1199999958276748,734.8,,1.0,9.9,71.0,990.7,18.6,196.0,77.0,,0.0,,
45,SENS_3595F0,2026-03-10 16:20:00+00:00,19.892000000000003,,50.18000000000001,25.064,100.0,0.0,0.0,0.1199999958276748,1097.6,,1.0,9.9,71.0,990.7,18.6,196.0,77.0,,0.0,,
46,SENS_3595F0,2026-03-10 16:30:00+00:00,19.178,,48.316,13.595999999999998,95.4,0.0,0.0,0.0799999982118606,737.4,,1.0,9.9,71.0,990.7,18.6,196.0,77.0,,0.0,,
47,SENS_3595F0,2026-03-10 16:40:00+00:00,18.916000000000004,,47.464,7.663999999999999,78.0,0.0,0.0,0.0639999985694885,607.2,,1.0,9.5,74.0,989.7,19.5,194.0,100.0,,0.0,,
48,SENS_3595F0,2026-03-10 16:50:00+00:00,18.896,,47.152,13.595999999999998,75.4,0.0,0.0,0.0799999982118606,556.4,,1.0,9.5,74.0,989.7,19.5,194.0,100.0,,0.0,,
49,SENS_3595F0,2026-03-10 17:00:00+00:00,18.766,,47.276,20.33,74.6,0.0,0.0,0.0899999976158142,534.4,,1.0,9.5,74.0,989.7,19.5,194.0,100.0,,0.0,,
50,SENS_3595F0,2026-03-10 17:10:00+00:00,18.494,,47.63600000000001,14.595999999999998,71.4,0.0,0.0,0.0479999989271163,456.2,,1.0,9.5,74.0,989.7,19.5,194.0,100.0,,0.0,,
51,SENS_3595F0,2026-03-10 17:20:00+00:00,18.382,,47.646,8.396,69.6,0.0,0.0,0.0799999982118606,399.8,,1.0,9.5,74.0,989.7,19.5,194.0,100.0,,0.0,,
52,SENS_3595F0,2026-03-10 17:30:00+00:00,18.24,,47.938,10.532,69.6,0.0,0.0,0.0639999985694885,395.6,,1.0,9.5,74.0,989.7,19.5,194.0,100.0,,0.0,,
53,SENS_3595F0,2026-03-10 17:55:00+00:00,17.836000000000002,,48.356,1.932,78.4,0.0,0.0,0.0639999985694885,396.6,,1.0,9.0,79.0,989.3,20.2,191.0,100.0,,0.0,,
54,SENS_3595F0,2026-03-10 18:05:00+00:00,17.690000000000005,,48.472,1.0,73.6,0.0,0.0,0.0799999982118606,399.2,,1.0,9.0,79.0,989.3,20.2,191.0,100.0,,0.0,,
55,SENS_3595F0,2026-03-10 18:15:00+00:00,17.578,,48.628,0.66,80.2,0.0,0.0,0.0,397.2,,1.0,9.0,79.0,989.3,20.2,191.0,100.0,,0.0,,
56,SENS_3595F0,2026-03-10 18:25:00+00:00,17.592000000000002,,48.196,1.0,3.2,0.0,0.0,0.0,407.8,,0.2,9.0,79.0,989.3,20.2,191.0,100.0,,0.0,,
