index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,EyeSense:B4:3A:45:49:BF:6C,2025-09-29 12:00:00+00:00,19.25,,60.105,30.665,100.0,0.0,0.0,0.0399999991059303,1709.0,,1.0,14.4,66.0,1007.0,4.6,249.0,100.0,,0.0,,
1,EyeSense:B4:3A:45:49:BF:6C,2026-03-06 10:35:00+00:00,14.08,,62.91,1.66,98.0,0.0,0.0,0.0,714.0,,1.0,6.4,88.0,1004.3,9.6,339.0,100.0,,0.0,,
2,EyeSense:B4:3A:45:49:BF:6C,2026-03-06 10:55:00+00:00,17.27,,55.91,1.0,3.0,0.0,0.0,0.0,428.0,,0.0,6.4,88.0,1004.3,9.6,339.0,100.0,,0.0,,
3,EyeSense:B4:3A:45:49:BF:6C,2026-03-06 11:05:00+00:00,17.566000000000003,,55.894000000000005,0.7280000000000001,5.8,0.0,0.0,0.0,443.6,,0.8,6.4,88.0,1004.3,9.6,339.0,100.0,,0.0,,
4,EyeSense:B4:3A:45:49:BF:6C,2026-03-06 11:15:00+00:00,17.741999999999997,,56.23,0.8640000000000001,66.2,0.0,0.0,0.0,461.4,,1.0,6.4,88.0,1004.3,9.6,339.0,100.0,,0.0,,
5,EyeSense:B4:3A:45:49:BF:6C,2026-03-06 11:25:00+00:00,17.82,,58.318,0.66,41.2,0.0,0.0,0.0,602.4,,1.0,6.4,88.0,1004.3,9.6,339.0,100.0,,0.0,,
6,EyeSense:B4:3A:45:49:BF:6C,2026-03-06 11:35:00+00:00,17.130000000000003,,52.078,1.4,40.8,0.0,0.0,0.0,429.6,,1.0,6.2,86.0,1004.9,9.5,341.0,100.0,,0.0,,
7,EyeSense:B4:3A:45:49:BF:6C,2026-03-06 11:45:00+00:00,17.526,,53.524,1.932,22.2,0.0,0.0,0.0,418.2,,0.8,6.2,86.0,1004.9,9.5,341.0,100.0,,0.0,,
8,EyeSense:B4:3A:45:49:BF:6C,2026-03-06 11:55:00+00:00,17.812,,55.24000000000001,2.0,13.0,0.0,0.0,0.0,466.6,,0.4,6.2,86.0,1004.9,9.5,341.0,100.0,,0.0,,
9,EyeSense:B4:3A:45:49:BF:6C,2026-03-06 12:05:00+00:00,17.915,,56.9275,0.66,100.0,0.0,0.0,0.0,529.0,,1.0,6.2,86.0,1004.9,9.5,341.0,100.0,,0.0,,
10,EyeSense:B4:3A:45:49:BF:6C,2026-03-06 12:25:00+00:00,18.028,,56.634,2.396,4.8,0.0,0.0,0.0,636.0,,0.4,6.2,86.0,1004.9,9.5,341.0,100.0,,0.0,,
11,EyeSense:B4:3A:45:49:BF:6C,2026-03-06 12:35:00+00:00,18.028,,56.902,2.066,29.8,0.0,0.0,0.0,702.6,,1.0,6.7,84.0,1004.9,9.7,341.0,100.0,,0.0,,
12,EyeSense:B4:3A:45:49:BF:6C,2026-03-06 12:45:00+00:00,17.704,,55.694,1.528,100.0,0.0,0.0,0.0,621.2,,1.0,6.7,84.0,1004.9,9.7,341.0,100.0,,0.0,,
