index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 15:10:00+00:00,20.133333333333336,,56.01,37.21666666666666,100.0,0.0,0.0,0.0,736.0,,1.0,14.6,64.0,998.3,14.9,179.0,100.0,,0.0,,
1,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 15:25:00+00:00,23.965,,44.88249999999999,17.58,100.0,0.0,0.0,0.0,795.0,,1.0,14.6,64.0,998.3,14.9,179.0,100.0,,0.0,,
2,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 15:30:00+00:00,24.194,,44.568,15.666,100.0,0.0,0.0,0.0,799.4,,1.0,14.6,64.0,998.3,14.9,179.0,100.0,,0.0,,
3,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 15:35:00+00:00,24.386,,43.654,21.93,100.0,0.0,0.0,0.0,799.2,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
4,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 15:40:00+00:00,24.668,,41.896,19.396,100.0,0.0,0.0,0.0,786.8,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
5,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 15:45:00+00:00,24.648000000000003,,42.282,26.396,100.0,0.0,0.0,0.0,785.4,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
6,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 15:50:00+00:00,24.708,,42.014,18.928,78.0,0.0,0.0,0.0,765.2,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
7,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 15:55:00+00:00,25.174,,41.496,13.266,37.8,0.0,0.0,0.0,735.6,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
8,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 16:00:00+00:00,25.270000000000003,,40.288,24.664,27.2,0.0,0.0,0.0,681.0,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
9,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 16:05:00+00:00,25.368,,40.4,24.264,21.8,0.0,0.0,0.0,657.6,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
10,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 16:10:00+00:00,25.482,,39.766,19.662,35.4,0.0,0.0,0.0,648.6,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
11,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 16:15:00+00:00,25.616,,39.28,18.396,38.8,0.0,0.0,0.0,644.8,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
12,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 16:20:00+00:00,25.620000000000005,,39.138,16.997999999999998,27.0,0.0,0.0,0.0,646.2,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
13,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 16:25:00+00:00,25.668,,38.804,15.464,24.4,0.0,0.0,0.0,649.6,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
14,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 16:35:00+00:00,25.718,,38.476,9.532,30.2,0.0,0.0,0.0,647.8,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
15,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 16:40:00+00:00,25.714,,38.260000000000005,6.73,23.0,0.0,0.0,0.0,642.6,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
16,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 16:45:00+00:00,25.752,,38.260000000000005,4.198,27.4,0.0,0.0,0.0,632.2,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
17,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 16:50:00+00:00,25.79,,38.03,4.198,32.0,0.0,0.0,0.0,631.0,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
18,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 16:55:00+00:00,25.788,,37.94,3.33,31.0,0.0,0.0,0.0,621.8,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
19,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 17:00:00+00:00,25.738,,37.972,4.264,46.6,0.0,0.0,0.0,612.6,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
20,EyeSense:B4:3A:45:49:C0:C8,2025-09-27 17:05:00+00:00,25.788,,37.822,4.5280000000000005,40.8,0.0,0.0,0.0,602.0,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
