index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,SENS_8A72DC,2025-09-27 15:10:00+00:00,20.62666666666667,,53.703333333333326,36.33,100.0,0.0,0.0,0.0999999965230623,910.6666666666666,,1.0,14.6,64.0,998.3,14.9,179.0,100.0,,0.0,,
1,SENS_8A72DC,2025-09-27 15:25:00+00:00,24.085,,44.5475,13.08,100.0,0.0,0.0,0.0,933.0,,1.0,14.6,64.0,998.3,14.9,179.0,100.0,,0.0,,
2,SENS_8A72DC,2025-09-27 15:30:00+00:00,24.376,,43.902,12.063999999999998,100.0,0.0,0.0,0.0,940.4,,1.0,14.6,64.0,998.3,14.9,179.0,100.0,,0.0,,
3,SENS_8A72DC,2025-09-27 15:35:00+00:00,24.61,,43.43,19.93,100.0,0.0,0.0,0.0,1010.6,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
4,SENS_8A72DC,2025-09-27 15:40:00+00:00,24.93,,42.21,13.728,96.6,0.0,0.0,0.0,935.2,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
5,SENS_8A72DC,2025-09-27 15:45:00+00:00,24.616,,42.55,19.53,80.4,0.0,0.0,0.0,931.2,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
6,SENS_8A72DC,2025-09-27 15:50:00+00:00,24.468,,42.704,17.332,62.0,0.0,0.0,0.0,911.8,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
7,SENS_8A72DC,2025-09-27 15:55:00+00:00,24.594,,42.132,12.663999999999998,23.4,0.0,0.0,0.0,893.4,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
8,SENS_8A72DC,2025-09-27 16:00:00+00:00,24.436,,42.02,24.796,16.4,0.0,0.0,0.0,845.2,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
9,SENS_8A72DC,2025-09-27 16:05:00+00:00,24.478,,41.886,23.464,14.4,0.0,0.0,0.0,818.6,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
10,SENS_8A72DC,2025-09-27 16:10:00+00:00,24.672,,41.45799999999999,20.462,22.6,0.0,0.0,0.0,808.8,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
11,SENS_8A72DC,2025-09-27 16:15:00+00:00,24.862,,41.116,19.33,18.8,0.0,0.0,0.0,808.6,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
12,SENS_8A72DC,2025-09-27 16:20:00+00:00,24.822,,41.018,18.664,13.4,0.0,0.0,0.0,809.0,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
13,SENS_8A72DC,2025-09-27 16:25:00+00:00,24.716,,41.216,17.261999999999997,12.4,0.0,0.0,0.0,807.6,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
14,SENS_8A72DC,2025-09-27 16:35:00+00:00,24.826,,40.986,12.596,22.4,0.0,0.0,0.0,812.4,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
15,SENS_8A72DC,2025-09-27 16:40:00+00:00,24.832,,40.922,10.596,15.8,0.0,0.0,0.0,806.6,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
16,SENS_8A72DC,2025-09-27 16:45:00+00:00,24.952000000000005,,40.716,8.996,15.6,0.0,0.0,0.0,797.0,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
17,SENS_8A72DC,2025-09-27 16:50:00+00:00,25.128,,40.378,8.463999999999999,19.0,0.0,0.0,0.0,796.0,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
18,SENS_8A72DC,2025-09-27 16:55:00+00:00,25.097999999999995,,40.386,7.797999999999999,20.2,0.0,0.0,0.0,787.0,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
19,SENS_8A72DC,2025-09-27 17:00:00+00:00,25.028,,40.46600000000001,8.596,28.4,0.0,0.0,0.0,776.4,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
20,SENS_8A72DC,2025-09-27 17:05:00+00:00,25.098000000000003,,40.354,9.196000000000002,26.8,0.0,0.0,0.0,769.2,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
21,SENS_8A72DC,2025-09-27 17:10:00+00:00,25.028,,40.474,8.596,30.0,0.0,0.0,0.0,757.4,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
22,SENS_8A72DC,2025-09-27 17:15:00+00:00,25.218,,41.104,12.661999999999995,27.8,0.0,0.0,0.0,786.0,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
23,SENS_8A72DC,2025-09-27 17:20:00+00:00,25.73,,39.43999999999999,51.264,36.8,0.0,0.0,0.0,825.6,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
24,SENS_8A72DC,2025-09-27 17:25:00+00:00,25.266,,40.276,81.464,17.6,0.0,0.0,0.0,821.0,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
25,SENS_8A72DC,2025-09-27 17:30:00+00:00,24.988,,40.916,80.398,20.6,0.0,0.0,0.0,833.0,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
26,SENS_8A72DC,2025-09-27 17:35:00+00:00,25.134,,40.782,6.928,5.4,0.0,0.0,0.0,846.8,,1.0,13.1,76.0,998.4,13.9,167.0,100.0,,0.0,,
27,SENS_8A72DC,2025-09-27 17:40:00+00:00,25.33333333333333,,40.236666666666665,6.216666666666666,3.6666666666666665,0.0,0.0,0.0,843.6666666666666,,0.3333333333333333,13.1,76.0,998.4,13.9,167.0,100.0,,0.0,,
28,SENS_8A72DC,2025-09-27 17:55:00+00:00,25.236666666666668,,40.17666666666667,5.776666666666666,3.0,0.0,0.0,0.0,823.0,,0.0,13.1,76.0,998.4,13.9,167.0,100.0,,0.0,,
29,SENS_8A72DC,2025-09-27 18:00:00+00:00,25.324,,39.976,6.266,4.0,0.0,0.0,0.0,823.4,,0.6,13.1,76.0,998.4,13.9,167.0,100.0,,0.0,,
30,SENS_8A72DC,2025-09-27 18:05:00+00:00,25.326,,39.938,5.8,4.6,0.0,0.0,0.0,834.2,,0.6,13.1,76.0,998.4,13.9,167.0,100.0,,0.0,,
31,SENS_8A72DC,2025-09-27 18:10:00+00:00,25.325,,39.915000000000006,6.0825,3.5,0.0,0.0,0.0,842.0,,0.25,13.1,76.0,998.4,13.9,167.0,100.0,,0.0,,
32,SENS_8A72DC,2025-09-27 18:15:00+00:00,25.265,,40.00666666666667,5.776666666666666,3.5,0.0,0.0,0.0,848.6666666666666,,0.5,13.1,76.0,998.4,13.9,167.0,100.0,,0.0,,
33,SENS_8A72DC,2025-09-27 18:20:00+00:00,25.236,,40.086,6.2,3.4,0.0,0.0,0.0,860.2,,0.6,13.1,76.0,998.4,13.9,167.0,100.0,,0.0,,
34,SENS_8A72DC,2025-09-27 18:25:00+00:00,25.19,,40.128,5.864,5.8,0.0,0.0,0.0,866.4,,0.4,13.1,76.0,998.4,13.9,167.0,100.0,,0.0,,
35,SENS_8A72DC,2025-09-27 18:30:00+00:00,25.168,,40.172,6.196,3.6,0.0,0.0,0.0,871.2,,0.2,13.1,76.0,998.4,13.9,167.0,100.0,,0.0,,
36,SENS_8A72DC,2025-09-27 18:35:00+00:00,25.156,,40.17999999999999,6.2,4.2,0.0,0.0,0.0,875.6,,0.6,12.9,76.0,999.2,14.1,176.0,55.0,,0.0,,
37,SENS_8A72DC,2025-09-27 18:40:00+00:00,25.112,,40.25000000000001,5.864,3.6,0.0,0.0,0.0,883.2,,0.4,12.9,76.0,999.2,14.1,176.0,55.0,,0.0,,
38,SENS_8A72DC,2025-09-27 18:45:00+00:00,25.146,,40.17,6.2620000000000005,3.6,0.0,0.0,0.0,884.6,,0.2,12.9,76.0,999.2,14.1,176.0,55.0,,0.0,,
39,SENS_8A72DC,2025-09-27 18:50:00+00:00,25.082,,40.276,5.8,5.8,0.0,0.0,0.0,885.8,,0.6,12.9,76.0,999.2,14.1,176.0,55.0,,0.0,,
40,SENS_8A72DC,2025-09-27 18:55:00+00:00,25.122000000000003,,40.216,6.5280000000000005,3.8,0.0,0.0,0.0,887.8,,0.4,12.9,76.0,999.2,14.1,176.0,55.0,,0.0,,
41,SENS_8A72DC,2025-09-27 19:00:00+00:00,25.106,,40.212,5.864,3.4,0.0,0.0,0.0,891.0,,0.2,12.9,76.0,999.2,14.1,176.0,55.0,,0.0,,
42,SENS_8A72DC,2025-09-27 19:05:00+00:00,25.026000000000003,,40.336,5.8,3.2,0.0,0.0,0.0,890.0,,0.6,12.9,76.0,999.2,14.1,176.0,55.0,,0.0,,
43,SENS_8A72DC,2025-09-27 19:10:00+00:00,24.972,,40.434000000000005,6.328,4.8,0.0,0.0,0.0,891.8,,0.4,12.9,76.0,999.2,14.1,176.0,55.0,,0.0,,
44,SENS_8A72DC,2025-09-27 19:15:00+00:00,24.98,,40.396,5.864,3.6,0.0,0.0,0.0,895.6,,0.2,12.9,76.0,999.2,14.1,176.0,55.0,,0.0,,
45,SENS_8A72DC,2025-09-27 19:20:00+00:00,25.0075,,40.35,6.0,3.75,0.0,0.0,0.0,899.5,,0.75,12.9,76.0,999.2,14.1,176.0,55.0,,0.0,,
46,SENS_8A72DC,2025-09-27 19:35:00+00:00,24.96,,40.39,6.66,4.0,0.0,0.0,0.0,909.0,,0.0,12.6,77.0,998.9,15.5,170.0,100.0,,0.0,,
47,SENS_8A72DC,2025-09-27 19:40:00+00:00,24.918,,40.44200000000001,5.928,4.6,0.0,0.0,0.0,907.0,,0.4,12.6,77.0,998.9,15.5,170.0,100.0,,0.0,,
48,SENS_8A72DC,2025-09-27 19:45:00+00:00,24.936,,40.372,6.2,3.0,0.0,0.0,0.0,904.8,,0.4,12.6,77.0,998.9,15.5,170.0,100.0,,0.0,,
49,SENS_8A72DC,2025-09-27 19:50:00+00:00,24.904000000000003,,40.418,6.196000000000001,3.4,0.0,0.0,0.0,905.4,,0.6,12.6,77.0,998.9,15.5,170.0,100.0,,0.0,,
50,SENS_8A72DC,2025-09-27 19:55:00+00:00,24.880000000000003,,40.454,6.264,3.2,0.0,0.0,0.0,909.2,,0.4,12.6,77.0,998.9,15.5,170.0,100.0,,0.0,,
51,SENS_8A72DC,2025-09-27 20:00:00+00:00,24.922,,40.388,5.8,2.6,0.0,0.0,0.0,911.8,,0.4,12.6,77.0,998.9,15.5,170.0,100.0,,0.0,,
52,SENS_8A72DC,2025-09-27 20:05:00+00:00,24.904,,40.398,5.928,3.2,0.0,0.0,0.0,918.8,,0.0,12.6,77.0,998.9,15.5,170.0,100.0,,0.0,,
53,SENS_8A72DC,2025-09-27 20:10:00+00:00,24.858,,40.494,6.33,2.8,0.0,0.0,0.0,922.6,,0.2,12.6,77.0,998.9,15.5,170.0,100.0,,0.0,,
54,SENS_8A72DC,2025-09-27 20:15:00+00:00,24.844,,40.516000000000005,5.532,2.8,0.0,0.0,0.0,925.0,,0.4,12.6,77.0,998.9,15.5,170.0,100.0,,0.0,,
55,SENS_8A72DC,2025-09-27 20:20:00+00:00,24.774,,40.664,6.531999999999999,8.2,0.0,0.0,0.0,926.4,,0.6,12.6,77.0,998.9,15.5,170.0,100.0,,0.0,,
56,SENS_8A72DC,2025-09-27 20:25:00+00:00,24.764000000000003,,40.70399999999999,5.864,2.6,0.0,0.0,0.0,929.0,,0.2,12.6,77.0,998.9,15.5,170.0,100.0,,0.0,,
57,SENS_8A72DC,2025-09-27 20:30:00+00:00,24.754,,40.690000000000005,6.264,3.0,0.0,0.0,0.0,922.4,,0.0,12.6,77.0,998.9,15.5,170.0,100.0,,0.0,,
58,SENS_8A72DC,2025-09-27 20:35:00+00:00,24.7025,,40.7675,5.91,2.25,0.0,0.0,0.0,918.25,,0.0,12.1,79.0,998.7,15.9,168.0,50.0,,0.7,,
