index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,EyeSense:B4:3A:45:49:C1:20,2025-09-29 11:40:00+00:00,19.71333333333333,,64.65333333333332,322.44,100.0,0.0,0.0,0.1299999952316284,1690.0,,1.0,14.4,66.0,1007.0,4.6,249.0,100.0,,0.0,,
1,EyeSense:B4:3A:45:49:C1:20,2026-03-11 10:45:00+00:00,17.28,,59.18,8.66,14.0,0.0,0.0,0.0399999991059303,660.0,,1.0,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
2,EyeSense:B4:3A:45:49:C1:20,2026-03-11 10:55:00+00:00,16.514,,63.23,9.328,2.4,0.0,0.0,0.1119999960064888,681.4,,0.8,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
3,EyeSense:B4:3A:45:49:C1:20,2026-03-11 11:05:00+00:00,16.798,,66.09,15.595999999999998,11.8,0.0,0.0,0.1379999965429306,781.8,,0.8,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
4,EyeSense:B4:3A:45:49:C1:20,2026-03-11 11:25:00+00:00,17.648,,70.792,9.062,100.0,0.0,0.0,0.0939999967813491,946.8,,1.0,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
5,EyeSense:B4:3A:45:49:C1:20,2026-03-11 11:35:00+00:00,17.938,,71.63,11.395999999999995,95.0,0.0,0.0,0.1119999960064888,1061.2,,1.0,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
6,EyeSense:B4:3A:45:49:C1:20,2026-03-11 11:50:00+00:00,18.198,,72.512,7.931999999999999,21.6,0.0,0.0,0.0939999967813491,1142.0,,0.8,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
7,EyeSense:B4:3A:45:49:C1:20,2026-03-11 12:00:00+00:00,18.212,,72.57199999999999,9.864,6.8,0.0,0.0,0.0939999967813491,1101.4,,1.0,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
8,EyeSense:B4:3A:45:49:C1:20,2026-03-11 12:10:00+00:00,18.104,,73.882,10.462,2.0,0.0,0.0,0.1119999960064888,1100.6,,0.0,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
9,EyeSense:B4:3A:45:49:C1:20,2026-03-11 12:20:00+00:00,18.026,,76.372,10.93,3.2,0.0,0.0,0.0759999975562095,1065.4,,0.0,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
10,EyeSense:B4:3A:45:49:C1:20,2026-03-11 12:30:00+00:00,18.192,,77.53,8.064,78.8,0.0,0.0,0.0759999975562095,1032.8,,0.8,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
11,EyeSense:B4:3A:45:49:C1:20,2026-03-11 12:40:00+00:00,18.45,,78.39,5.66,100.0,0.0,0.0,0.0399999991059303,1140.0,,1.0,10.1,55.0,991.7,21.2,270.0,27.0,,0.0,,
12,EyeSense:B4:3A:45:49:C1:20,2026-03-11 12:50:00+00:00,18.61,,78.40599999999999,7.262,100.0,0.0,0.0,0.0579999983310699,1172.4,,1.0,10.1,55.0,991.7,21.2,270.0,27.0,,0.0,,
13,EyeSense:B4:3A:45:49:C1:20,2026-03-11 13:00:00+00:00,18.706,,78.45599999999999,11.328,21.8,0.0,0.0,0.1119999960064888,1201.2,,0.8,10.1,55.0,991.7,21.2,270.0,27.0,,0.0,,
14,EyeSense:B4:3A:45:49:C1:20,2026-03-11 13:10:00+00:00,18.214,,62.346,13.73,4.2,0.0,0.0,0.1379999965429306,809.0,,0.8,10.1,55.0,991.7,21.2,270.0,27.0,,0.0,,
15,EyeSense:B4:3A:45:49:C1:20,2026-03-11 13:25:00+00:00,17.81,,72.724,8.062000000000001,3.8,0.0,0.0,0.1299999952316284,698.8,,0.6,10.1,55.0,991.7,21.2,270.0,27.0,,0.0,,
16,EyeSense:B4:3A:45:49:C1:20,2026-03-11 13:35:00+00:00,17.962,,73.024,12.33,2.0,0.0,0.0,0.1299999952316284,709.2,,0.0,10.0,55.0,992.3,21.2,270.0,25.0,,0.0,,
17,EyeSense:B4:3A:45:49:C1:20,2026-03-11 13:45:00+00:00,17.913999999999998,,73.434,10.864,2.8,0.0,0.0,0.1299999952316284,713.6,,0.0,10.0,55.0,992.3,21.2,270.0,25.0,,0.0,,
18,EyeSense:B4:3A:45:49:C1:20,2026-03-11 13:55:00+00:00,17.864,,73.65,7.6,2.2,0.0,0.0,0.0759999975562095,728.8,,0.0,10.0,55.0,992.3,21.2,270.0,25.0,,0.0,,
19,EyeSense:B4:3A:45:49:C1:20,2026-03-11 14:15:00+00:00,17.526666666666667,,74.85333333333334,11.22,2.0,0.0,0.0,0.1299999952316284,723.6666666666666,,0.0,10.0,55.0,992.3,21.2,270.0,25.0,,0.0,,
20,EyeSense:B4:3A:45:49:C1:20,2026-03-11 14:25:00+00:00,17.474,,73.81400000000001,11.132,2.0,0.0,0.0,0.1299999952316284,742.8,,0.0,10.0,55.0,992.3,21.2,270.0,25.0,,0.0,,
21,EyeSense:B4:3A:45:49:C1:20,2026-03-11 14:40:00+00:00,17.386000000000003,,72.358,5.728,2.0,0.0,0.0,0.0399999991059303,783.2,,0.0,9.9,55.0,993.0,21.2,270.0,53.0,,0.0,,
22,EyeSense:B4:3A:45:49:C1:20,2026-03-11 14:50:00+00:00,17.292,,72.066,9.396,2.0,0.0,0.0,0.0759999975562095,801.2,,0.0,9.9,55.0,993.0,21.2,270.0,53.0,,0.0,,
23,EyeSense:B4:3A:45:49:C1:20,2026-03-11 15:00:00+00:00,17.196,,71.796,11.598,20.2,0.0,0.0,0.1119999960064888,828.8,,1.0,9.9,55.0,993.0,21.2,270.0,53.0,,0.0,,
24,EyeSense:B4:3A:45:49:C1:20,2026-03-11 15:10:00+00:00,17.068,,71.836,8.797999999999998,2.0,0.0,0.0,0.1199999973177909,826.0,,0.6,9.9,55.0,993.0,21.2,270.0,53.0,,0.0,,
25,EyeSense:B4:3A:45:49:C1:20,2026-03-11 15:20:00+00:00,16.95,,71.53999999999999,11.332,2.0,0.0,0.0,0.1119999960064888,805.8,,0.0,9.9,55.0,993.0,21.2,270.0,53.0,,0.0,,
26,EyeSense:B4:3A:45:49:C1:20,2026-03-11 15:40:00+00:00,16.88,,70.16,8.0,100.0,0.0,0.0,0.0399999991059303,736.0,,1.0,9.4,61.0,993.7,15.7,261.0,12.0,,0.0,,
27,EyeSense:B4:3A:45:49:C1:20,2026-03-11 15:50:00+00:00,16.958,,69.548,8.864,64.0,0.0,0.0,0.1299999952316284,801.4,,1.0,9.4,61.0,993.7,15.7,261.0,12.0,,0.0,,
28,EyeSense:B4:3A:45:49:C1:20,2026-03-11 16:05:00+00:00,16.844,,70.05,8.132,3.0,0.0,0.0,0.0939999967813491,833.6,,0.0,9.4,61.0,993.7,15.7,261.0,12.0,,0.0,,
29,EyeSense:B4:3A:45:49:C1:20,2026-03-11 16:15:00+00:00,16.872,,69.92,9.93,56.8,0.0,0.0,0.1119999960064888,847.8,,1.0,9.4,61.0,993.7,15.7,261.0,12.0,,0.0,,
30,EyeSense:B4:3A:45:49:C1:20,2026-03-11 16:25:00+00:00,16.881999999999998,,69.99199999999999,7.9300000000000015,58.2,0.0,0.0,0.0839999988675117,943.0,,1.0,9.4,61.0,993.7,15.7,261.0,12.0,,0.0,,
31,EyeSense:B4:3A:45:49:C1:20,2026-03-11 16:35:00+00:00,16.8425,,70.025,7.08,23.5,0.0,0.0,0.1074999962002039,917.75,,1.0,8.9,64.0,994.5,16.2,262.0,47.0,,0.0,,
32,EyeSense:B4:3A:45:49:C1:20,2026-03-11 16:55:00+00:00,16.958000000000002,,69.728,6.132,96.6,0.0,0.0,0.1119999960064888,1048.4,,1.0,8.9,64.0,994.5,16.2,262.0,47.0,,0.0,,
33,EyeSense:B4:3A:45:49:C1:20,2026-03-11 17:05:00+00:00,16.91,,70.52799999999999,4.33,98.6,0.0,0.0,0.0399999991059303,1132.2,,1.0,8.9,64.0,994.5,16.2,262.0,47.0,,0.0,,
