index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,SENS_3FD648,2025-09-29 11:40:00+00:00,20.243333333333336,,59.39666666666667,35.33,100.0,0.0,0.0,0.0133333330353101,1671.0,,1.0,14.4,66.0,1007.0,4.6,249.0,100.0,,0.0,,
1,SENS_3FD648,2026-03-11 10:45:00+00:00,15.89,,65.04,0.66,35.0,0.0,0.0,0.0,536.0,,1.0,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
2,SENS_3FD648,2026-03-11 10:55:00+00:00,17.71,,65.06800000000001,1.796,17.8,0.0,0.0,0.0,710.2,,1.0,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
3,SENS_3FD648,2026-03-11 11:05:00+00:00,20.262,,62.55,2.33,20.4,0.0,0.0,0.0,819.0,,1.0,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
4,SENS_3FD648,2026-03-11 11:25:00+00:00,21.860000000000003,,64.1,0.728,3.8,0.0,0.0,0.0,784.2,,0.0,9.1,63.0,990.0,20.5,268.0,8.0,,0.0,,
5,SENS_3FD648,2026-03-11 11:35:00+00:00,22.378,,64.23,2.198,3.6,0.0,0.0,0.0,784.0,,0.0,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
6,SENS_3FD648,2026-03-11 11:50:00+00:00,22.708,,64.138,1.796,3.2,0.0,0.0,0.0,815.2,,0.0,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
7,SENS_3FD648,2026-03-11 12:00:00+00:00,22.662,,62.04,2.53,3.4,0.0,0.0,0.0,838.0,,0.2,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
8,SENS_3FD648,2026-03-11 12:10:00+00:00,22.734,,60.39399999999999,1.864,3.0,0.0,0.0,0.0,928.4,,0.0,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
9,SENS_3FD648,2026-03-11 12:20:00+00:00,22.918,,60.548,2.73,2.8,0.0,0.0,0.0,879.8,,0.0,9.6,59.0,991.0,19.8,266.0,13.0,,0.1,,
