index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,EyeSense:B4:3A:45:4A:01:F8,2025-09-29 13:00:00+00:00,19.6125,,59.0525,66.24499999999999,100.0,0.0,0.0,0.0,1679.0,,1.0,15.4,58.0,1007.1,4.7,277.0,100.0,,0.0,,
1,EyeSense:B4:3A:45:4A:01:F8,2026-02-18 15:25:00+00:00,22.6,,36.72,5.33,93.0,0.0,0.0,0.0,1106.0,,1.0,4.1,70.0,979.6,20.1,95.0,100.0,,0.0,,
2,EyeSense:B4:3A:45:4A:01:F8,2026-02-18 15:35:00+00:00,22.07,,37.02,5.33,100.0,0.0,0.0,0.0,988.0,,1.0,3.8,72.0,978.1,22.0,98.0,100.0,,0.0,,
3,EyeSense:B4:3A:45:4A:01:F8,2026-02-18 15:55:00+00:00,22.392,,32.598,5.33,49.0,0.0,0.0,0.0,740.8,,1.0,3.8,72.0,978.1,22.0,98.0,100.0,,0.0,,
4,EyeSense:B4:3A:45:4A:01:F8,2026-02-18 16:05:00+00:00,22.328,,27.704,5.33,4.2,0.0,0.0,0.0,443.8,,0.0,3.8,72.0,978.1,22.0,98.0,100.0,,0.0,,
5,EyeSense:B4:3A:45:4A:01:F8,2026-02-18 16:15:00+00:00,23.794,,23.818,5.33,7.2,0.0,0.0,0.0,407.6,,0.6,3.8,72.0,978.1,22.0,98.0,100.0,,0.0,,
6,EyeSense:B4:3A:45:4A:01:F8,2026-02-18 16:30:00+00:00,24.714,,24.152,5.33,3.8,0.0,0.0,0.0,513.0,,0.6,3.8,72.0,978.1,22.0,98.0,100.0,,0.0,,
7,EyeSense:B4:3A:45:4A:01:F8,2026-02-18 16:40:00+00:00,25.085,,24.245,5.33,5.25,0.0,0.0,0.0,538.25,,0.0,3.3,76.0,977.3,21.3,94.0,100.0,,0.0,,
8,EyeSense:B4:3A:45:4A:01:F8,2026-02-18 16:50:00+00:00,25.067500000000003,,25.0275,5.33,4.25,0.0,0.0,0.0,604.75,,0.75,3.3,76.0,977.3,21.3,94.0,100.0,,0.0,,
9,EyeSense:B4:3A:45:4A:01:F8,2026-02-18 17:00:00+00:00,25.452,,26.17,5.395999999999999,86.0,0.0,0.0,0.0,698.4,,1.0,3.3,76.0,977.3,21.3,94.0,100.0,,0.0,,
