index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,SENS_3570D0,2025-09-29 13:00:00+00:00,20.5275,,57.035,61.9125,98.25,0.0,0.0,0.2049999944865703,1796.0,,1.0,15.4,58,1007.1,4.7,277,100,,0.0,,
1,SENS_3570D0,2026-02-18 15:55:00+00:00,21.62,,33.42,2.596,43.8,0.0,0.0,0.0,682.8,,1.0,3.8,72,978.1,22.0,98,100,,0.0,,
2,SENS_3570D0,2026-02-18 16:05:00+00:00,22.67,,30.790000000000003,2.528,47.2,0.0,0.0,0.0,575.2,,1.0,3.8,72,978.1,22.0,98,100,,0.0,,
3,SENS_3570D0,2026-02-18 16:15:00+00:00,22.996,,29.842,2.33,14.0,0.0,0.0,0.0,508.8,,1.0,3.8,72,978.1,22.0,98,100,,0.0,,
4,SENS_3570D0,2026-02-18 16:30:00+00:00,23.15,,29.648000000000003,2.0,19.8,0.0,0.0,0.0,534.2,,1.0,3.8,72,978.1,22.0,98,100,,0.0,,
5,SENS_3570D0,2026-02-18 16:40:00+00:00,23.21,,29.565,1.2475,26.25,0.0,0.0,0.0,553.75,,1.0,3.3,76,977.3,21.3,94,100,,0.0,,
6,SENS_3570D0,2026-02-18 16:50:00+00:00,23.245,,29.515,0.5775,23.75,0.0,0.0,0.0,579.0,,1.0,3.3,76,977.3,21.3,94,100,,0.0,,
7,SENS_3570D0,2026-02-18 17:00:00+00:00,23.2,,29.770000000000003,0.264,26.0,0.0,0.0,0.0,672.2,,1.0,3.3,76,977.3,21.3,94,100,,0.0,,
8,SENS_3570D0,2026-02-18 17:10:00+00:00,23.204,,29.706,0.0,15.8,0.0,0.0,0.0,682.2,,0.8,3.3,76,977.3,21.3,94,100,,0.0,,
9,SENS_3570D0,2026-02-18 17:20:00+00:00,23.25,,29.716,0.198,15.4,0.0,0.0,0.0,703.8,,1.0,3.3,76,977.3,21.3,94,100,,0.0,,
10,SENS_3570D0,2026-02-18 17:30:00+00:00,23.254,,29.714,0.066,13.2,0.0,0.0,0.0,721.8,,1.0,3.3,76,977.3,21.3,94,100,,0.0,,
11,SENS_3570D0,2026-02-18 17:40:00+00:00,23.26,,29.71,0.0,14.2,0.0,0.0,0.0,733.6,,1.0,2.3,84,977.1,19.1,88,100,,0.0,,
12,SENS_3570D0,2026-02-18 17:55:00+00:00,23.29,,29.585,0.0,10.0,0.0,0.0,0.0,748.5,,1.0,2.3,84,977.1,19.1,88,100,,0.0,,
13,SENS_3570D0,2026-02-18 18:15:00+00:00,23.360000000000003,,30.33,0.198,44.4,0.0,0.0,0.0,1002.2,,1.0,2.3,84,977.1,19.1,88,100,,0.0,,
14,SENS_3570D0,2026-02-18 18:25:00+00:00,23.398000000000003,,30.544,621.064,28.2,0.0,0.0,0.0,1118.2,,1.0,2.3,84,977.1,19.1,88,100,,0.0,,
15,SENS_3570D0,2026-02-18 18:35:00+00:00,23.47,,30.63,612.0,25.0,0.0,0.0,0.0,1154.0,,1.0,2.3,88,976.7,20.3,84,100,,0.3,,
16,SENS_3570D0,2026-02-18 18:45:00+00:00,23.22,,31.065,611.3299999999999,73.5,0.0,0.0,0.0,1242.0,,1.0,2.3,88,976.7,20.3,84,100,,0.3,,
17,SENS_3570D0,2026-02-18 22:00:00+00:00,24.77,,30.68,571.33,64.0,0.0,0.0,0.0,1491.0,,1.0,1.3,100,975.0,20.1,68,100,,1.7,,
18,SENS_3570D0,2026-02-18 22:10:00+00:00,25.084,,30.254,564.9959999999999,54.8,0.0,0.0,0.0,1331.6,,1.0,1.3,100,975.0,20.1,68,100,,1.7,,
19,SENS_3570D0,2026-02-18 22:20:00+00:00,25.42,,29.79,565.33,57.0,0.0,0.0,0.0,1356.0,,1.0,1.3,100,975.0,20.1,68,100,,1.7,,
20,SENS_3570D0,2026-02-18 22:30:00+00:00,25.218,,30.114,563.328,65.6,0.0,0.0,0.0,1366.4,,1.0,1.3,100,975.0,20.1,68,100,,1.7,,
21,SENS_3570D0,2026-02-19 00:20:00+00:00,24.488,,33.20399999999999,258.99600000000004,97.8,0.0,0.0,0.0,1949.2,,1.0,1.6,99,974.9,18.0,69,100,,1.2,,
22,SENS_3570D0,2026-02-19 01:20:00+00:00,25.14,,31.983333333333334,0.0,97.66666666666666,0.0,0.0,0.0,1801.0,,1.0,1.2,100,975.0,18.9,61,100,,1.0,,
23,SENS_3570D0,2026-02-19 02:10:00+00:00,25.4125,,31.7125,0.0,40.75,0.0,0.0,0.0,1878.5,,1.0,0.9,100,975.1,19.9,59,100,,1.3,,
24,SENS_3570D0,2026-02-19 02:20:00+00:00,25.235,,32.25,0.0,44.5,0.0,0.0,0.0,1870.5,,1.0,0.9,100,975.1,19.9,59,100,,1.3,,
25,SENS_3570D0,2026-02-19 02:30:00+00:00,25.256,,32.456,0.0,44.6,0.0,0.0,0.0,1865.8,,1.0,0.9,100,975.1,19.9,59,100,,1.3,,
26,SENS_3570D0,2026-02-19 02:40:00+00:00,25.396,,32.276,0.0,34.2,0.0,0.0,0.0,1850.6,,1.0,1.0,100,975.2,18.6,49,100,,0.6,,
27,SENS_3570D0,2026-02-19 03:50:00+00:00,24.3,,34.50666666666667,0.0,75.66666666666666,0.0,0.0,0.0,1735.6666666666667,,1.0,1.5,99,975.7,15.7,52,100,,0.3,,
28,SENS_3570D0,2026-02-19 04:00:00+00:00,23.772,,35.306,0.0,48.4,0.0,0.0,0.0,1741.6,,1.0,1.5,99,975.7,15.7,52,100,,0.3,,
29,SENS_3570D0,2026-02-19 04:10:00+00:00,23.19,,36.286,0.0,44.4,0.0,0.0,0.0,1703.6,,1.0,1.5,99,975.7,15.7,52,100,,0.3,,
30,SENS_3570D0,2026-02-19 04:20:00+00:00,22.948,,36.84,0.0,47.0,0.0,0.0,0.0,1727.8,,1.0,1.5,99,975.7,15.7,52,100,,0.3,,
31,SENS_3570D0,2026-02-19 04:30:00+00:00,23.212,,36.442,0.0,45.8,0.0,0.0,0.0,1768.4,,1.0,1.5,99,975.7,15.7,52,100,,0.3,,
32,SENS_3570D0,2026-02-19 04:40:00+00:00,23.368,,36.204,0.0,49.4,0.0,0.0,0.0,1794.2,,1.0,1.3,99,976.4,14.3,47,100,,0.3,,
33,SENS_3570D0,2026-02-19 04:50:00+00:00,23.845,,35.485,0.0,64.5,0.0,0.0,0.0,1798.0,,1.0,1.3,99,976.4,14.3,47,100,,0.3,,
34,SENS_3570D0,2026-02-19 05:10:00+00:00,24.234,,34.34,0.0,73.0,0.0,0.0,0.0,1791.2,,1.0,1.3,99,976.4,14.3,47,100,,0.3,,
35,SENS_3570D0,2026-02-19 05:20:00+00:00,24.658,,33.662,0.0,46.0,0.0,0.0,0.0,1777.0,,1.0,1.3,99,976.4,14.3,47,100,,0.3,,
36,SENS_3570D0,2026-02-19 05:30:00+00:00,23.884,,35.232,0.0,57.0,0.0,0.0,0.0,1797.4,,1.0,1.3,99,976.4,14.3,47,100,,0.3,,
37,SENS_3570D0,2026-02-19 05:40:00+00:00,24.178,,34.760000000000005,0.0,39.2,0.0,0.0,0.0,1813.4,,1.0,1.1,100,977.5,12.2,38,100,,0.2,,
38,SENS_3570D0,2026-02-19 05:50:00+00:00,23.694,,35.760000000000005,0.0,38.4,0.0,0.0,0.0,1822.8,,1.0,1.1,100,977.5,12.2,38,100,,0.2,,
39,SENS_3570D0,2026-02-19 06:00:00+00:00,23.21,,36.624,0.0,34.4,0.0,0.0,0.0,1801.8,,1.0,1.1,100,977.5,12.2,38,100,,0.2,,
40,SENS_3570D0,2026-02-19 06:10:00+00:00,23.2,,36.682,0.0,38.0,0.0,0.0,0.0,1800.0,,1.0,1.1,100,977.5,12.2,38,100,,0.2,,
41,SENS_3570D0,2026-02-19 06:20:00+00:00,23.47,,36.15,0.0,31.0,0.0,0.0,0.0,1800.0,,1.0,1.1,100,977.5,12.2,38,100,,0.2,,
42,SENS_3570D0,2026-02-19 06:40:00+00:00,23.756000000000004,,35.944,0.0,55.8,0.0,0.0,0.0,1785.8,,1.0,1.2,99,978.5,12.1,25,100,,0.1,,
43,SENS_3570D0,2026-02-19 06:50:00+00:00,23.348,,36.66,0.0,46.0,0.0,0.0,0.0,1836.2,,1.0,1.2,99,978.5,12.1,25,100,,0.1,,
44,SENS_3570D0,2026-02-19 07:00:00+00:00,23.088,,37.092000000000006,0.0,44.6,0.0,0.0,0.0,1855.6,,1.0,1.2,99,978.5,12.1,25,100,,0.1,,
45,SENS_3570D0,2026-02-19 07:10:00+00:00,23.16,,36.926,0.33,40.2,0.0,0.0,0.0,1871.6,,1.0,1.2,99,978.5,12.1,25,100,,0.1,,
46,SENS_3570D0,2026-02-19 07:20:00+00:00,23.419999999999995,,36.540000000000006,0.33,42.2,0.0,0.0,0.0,1883.0,,1.0,1.2,99,978.5,12.1,25,100,,0.1,,
47,SENS_3570D0,2026-02-19 07:30:00+00:00,23.78,,35.896,0.33,63.4,0.0,0.0,0.0,1910.8,,1.0,1.2,99,978.5,12.1,25,100,,0.1,,
48,SENS_3570D0,2026-02-19 07:50:00+00:00,24.115,,35.305,0.66,75.0,0.0,0.0,0.0,1957.5,,1.0,1.0,100,980.0,12.1,20,100,,0.2,,
49,SENS_3570D0,2026-02-19 08:00:00+00:00,23.716,,36.054,1.0,62.4,0.0,0.0,0.0,1962.0,,1.0,1.0,100,980.0,12.1,20,100,,0.2,,
50,SENS_3570D0,2026-02-19 08:10:00+00:00,23.642000000000003,,36.182,1.33,59.0,0.0,0.0,0.0,1962.0,,1.0,1.0,100,980.0,12.1,20,100,,0.2,,
51,SENS_3570D0,2026-02-19 08:20:00+00:00,23.698,,36.076,2.132,35.0,0.0,0.0,0.0,1970.2,,1.0,1.0,100,980.0,12.1,20,100,,0.2,,
52,SENS_3570D0,2026-02-19 08:30:00+00:00,23.354000000000003,,36.794,3.132,50.2,0.0,0.0,0.0,1970.8,,1.0,1.0,100,980.0,12.1,20,100,,0.2,,
53,SENS_3570D0,2026-02-19 08:40:00+00:00,23.678,,36.176,3.796,41.0,0.0,0.0,0.0,1967.8,,1.0,1.0,99,981.0,14.9,27,100,,0.3,,
54,SENS_3570D0,2026-02-19 08:50:00+00:00,23.552,,36.536,4.398000000000001,63.2,0.0,0.0,0.0,1959.2,,1.0,1.0,99,981.0,14.9,27,100,,0.3,,
55,SENS_3570D0,2026-02-19 09:00:00+00:00,24.14,,35.465,5.995,76.5,0.0,0.0,0.0,1994.0,,1.0,1.0,99,981.0,14.9,27,100,,0.3,,
56,SENS_3570D0,2026-02-19 09:10:00+00:00,24.284,,35.15,6.795999999999999,76.4,0.0,0.0,0.0,1979.8,,1.0,1.0,99,981.0,14.9,27,100,,0.3,,
57,SENS_3570D0,2026-02-19 09:20:00+00:00,23.774,,36.118,9.13,52.6,0.0,0.0,0.0,1969.2,,1.0,1.0,99,981.0,14.9,27,100,,0.3,,
