index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,SENS_35965C,2025-09-29 12:35:00+00:00,20.3,,58.17,37.33,100.0,0.0,0.0,0.209999993443489,1980.0,,1.0,15.4,58.0,1007.1,4.7,277.0,100.0,,0.0,,
1,SENS_35965C,2025-09-29 12:40:00+00:00,20.263333333333332,,57.57333333333333,38.77333333333333,100.0,0.0,0.0,0.0999999965230623,1890.6666666666667,,1.0,15.4,58.0,1007.1,4.7,277.0,100.0,,0.0,,
2,SENS_35965C,2026-03-13 10:10:00+00:00,16.166,,55.658,70.53,62.0,0.0,0.0,0.4659999996423721,647.4,,1.0,6.4,60.0,979.7,20.4,219.0,40.0,,0.0,,
3,SENS_35965C,2026-03-13 10:20:00+00:00,17.052,,52.866,171.66400000000002,81.8,0.0,0.0,1.1320000112056732,693.2,,1.0,6.4,60.0,979.7,20.4,219.0,40.0,,0.0,,
4,SENS_35965C,2026-03-13 10:30:00+00:00,17.378,,51.790000000000006,76.598,44.8,0.0,0.0,0.3259999990463257,642.0,,1.0,6.4,60.0,979.7,20.4,219.0,40.0,,0.0,,
5,SENS_35965C,2026-03-13 10:40:00+00:00,17.538,,51.262,72.46199999999999,96.0,0.0,0.0,0.3259999930858612,624.4,,1.0,7.2,54.0,979.6,23.3,242.0,35.0,,0.0,,
6,SENS_35965C,2026-03-13 10:50:00+00:00,17.544,,51.85,44.53,74.8,0.0,0.0,0.196000000834465,685.6,,1.0,7.2,54.0,979.6,23.3,242.0,35.0,,0.0,,
7,SENS_35965C,2026-03-13 11:10:00+00:00,17.714,,51.40599999999999,40.93,78.6,0.0,0.0,0.1459999963641166,671.2,,1.0,7.2,54.0,979.6,23.3,242.0,35.0,,0.0,,
8,SENS_35965C,2026-03-13 11:20:00+00:00,17.651999999999997,,52.226,176.998,80.4,0.0,0.0,0.8300000071525574,661.6,,1.0,7.2,54.0,979.6,23.3,242.0,35.0,,0.0,,
9,SENS_35965C,2026-03-13 11:30:00+00:00,17.674,,52.164,154.39600000000002,81.0,0.0,0.0,0.8819999843835831,646.4,,1.0,7.2,54.0,979.6,23.3,242.0,35.0,,0.0,,
10,SENS_35965C,2026-03-13 11:40:00+00:00,18.638,,50.504000000000005,118.264,87.4,0.0,0.0,0.5440000116825103,727.8,,1.0,7.6,57.0,980.0,19.7,245.0,45.0,,0.2,,
11,SENS_35965C,2026-03-13 11:50:00+00:00,20.828,,45.658,177.864,77.6,0.0,0.0,0.7779999911785126,761.2,,1.0,7.6,57.0,980.0,19.7,245.0,45.0,,0.2,,
12,SENS_35965C,2026-03-13 12:00:00+00:00,23.956,,39.586,185.13,79.6,0.0,0.0,0.6920000150799751,723.6,,1.0,7.6,57.0,980.0,19.7,245.0,45.0,,0.2,,
13,SENS_35965C,2026-03-13 12:20:00+00:00,24.55,,39.135000000000005,206.495,100.0,0.0,0.0,0.8400000035762787,685.5,,1.0,7.6,57.0,980.0,19.7,245.0,45.0,,0.2,,
14,SENS_35965C,2026-03-13 12:30:00+00:00,23.89,,41.32600000000001,195.862,75.6,0.0,0.0,0.8039999842643738,773.8,,1.0,7.6,57.0,980.0,19.7,245.0,45.0,,0.2,,
15,SENS_35965C,2026-03-13 12:40:00+00:00,22.726,,43.470000000000006,166.99599999999998,87.0,0.0,0.0,0.7899999976158142,751.0,,1.0,7.5,58.0,979.5,21.2,235.0,91.0,,0.0,,
