index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,EyeSense:B4:3A:45:4A:02:7C,2025-09-29 10:55:00+00:00,18.814,,62.354,30.396,100.0,0.0,0.0,0.1780000001192093,1373.2,,1.0,13.6,71.0,1007.4,3.5,249.0,100.0,,0.0,,
1,EyeSense:B4:3A:45:4A:02:7C,2026-02-02 16:50:00+00:00,18.38666666666667,,58.43666666666667,11.886666666666663,32.33333333333333,0.0,0.0,0.1299999952316284,614.0,,1.0,5.7,93.0,976.5,17.6,79.0,100.0,,0.0,,
2,EyeSense:B4:3A:45:4A:02:7C,2026-02-02 17:05:00+00:00,18.0,,58.64,2.33,17.6,0.0,0.0,0.1299999952316284,760.2,,1.0,5.7,93.0,976.5,17.6,79.0,100.0,,0.0,,
3,EyeSense:B4:3A:45:4A:02:7C,2026-02-02 17:15:00+00:00,18.604,,57.034000000000006,3.664,14.8,0.0,0.0,0.1299999952316284,787.4,,1.0,5.7,93.0,976.5,17.6,79.0,100.0,,0.0,,
4,EyeSense:B4:3A:45:4A:02:7C,2026-02-02 17:25:00+00:00,18.784,,56.108,2.33,13.8,0.0,0.0,0.1299999952316284,757.2,,0.2,5.7,93.0,976.5,17.6,79.0,100.0,,0.0,,
5,EyeSense:B4:3A:45:4A:02:7C,2026-02-02 17:35:00+00:00,18.928000000000004,,55.568,2.33,11.8,0.0,0.0,0.1299999952316284,783.8,,0.2,5.2,94.0,976.7,17.8,79.0,100.0,,0.0,,
6,EyeSense:B4:3A:45:4A:02:7C,2026-02-02 17:45:00+00:00,19.092,,55.39000000000001,2.396,18.6,0.0,0.0,0.1299999952316284,813.6,,1.0,5.2,94.0,976.7,17.8,79.0,100.0,,0.0,,
7,EyeSense:B4:3A:45:4A:02:7C,2026-02-02 18:05:00+00:00,19.412,,54.696000000000005,2.33,16.0,0.0,0.0,0.1299999952316284,828.6,,1.0,5.2,94.0,976.7,17.8,79.0,100.0,,0.0,,
8,EyeSense:B4:3A:45:4A:02:7C,2026-02-02 18:20:00+00:00,19.674,,54.318000000000005,2.33,13.2,0.0,0.0,0.1299999952316284,823.2,,0.0,5.2,94.0,976.7,17.8,79.0,100.0,,0.0,,
9,EyeSense:B4:3A:45:4A:02:7C,2026-02-02 18:30:00+00:00,19.832,,53.5,7.529999999999999,19.8,0.0,0.0,0.1299999952316284,765.6,,1.0,5.2,94.0,976.7,17.8,79.0,100.0,,0.0,,
