index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,SENS_3FD650,2025-09-29 11:55:00+00:00,19.87333333333333,,60.38666666666666,23.55333333333333,100.0,0.0,0.0,0.0,1959.6666666666667,,1.0,14.4,66.0,1007.0,4.6,249.0,100.0,,0.0,,
1,SENS_3FD650,2026-03-05 09:00:00+00:00,16.554000000000002,,61.238,2.5940000000000003,3.6,0.0,0.0,0.0,773.2,,0.2,8.2,83.0,996.4,8.2,131.0,0.0,,0.0,,
2,SENS_3FD650,2026-03-05 09:10:00+00:00,17.676000000000002,,57.11400000000001,2.396,3.2,0.0,0.0,0.0,770.2,,0.0,8.2,83.0,996.4,8.2,131.0,0.0,,0.0,,
3,SENS_3FD650,2026-03-05 09:20:00+00:00,19.096,,55.1,19.794,17.8,0.0,0.0,0.0340000003576278,906.8,,1.0,8.2,83.0,996.4,8.2,131.0,0.0,,0.0,,
4,SENS_3FD650,2026-03-05 09:30:00+00:00,21.2025,,49.0525,2.5775,4.0,0.0,0.0,0.0,870.75,,0.0,8.2,83.0,996.4,8.2,131.0,0.0,,0.0,,
5,SENS_3FD650,2026-03-05 09:40:00+00:00,21.604000000000003,,46.972,2.33,4.0,0.0,0.0,0.0,858.0,,0.0,9.9,80.0,996.4,7.7,131.0,0.0,,0.0,,
6,SENS_3FD650,2026-03-05 09:50:00+00:00,22.15,,45.592,1.996,10.8,0.0,0.0,0.0,877.2,,1.0,9.9,80.0,996.4,7.7,131.0,0.0,,0.0,,
7,SENS_3FD650,2026-03-05 10:00:00+00:00,22.024,,45.224,1.6599999999999997,3.6,0.0,0.0,0.0,880.4,,0.0,9.9,80.0,996.4,7.7,131.0,0.0,,0.0,,
8,SENS_3FD650,2026-03-05 10:10:00+00:00,22.026,,44.594,1.6599999999999997,3.8,0.0,0.0,0.0,828.8,,0.0,9.9,80.0,996.4,7.7,131.0,0.0,,0.0,,
9,SENS_3FD650,2026-03-05 10:20:00+00:00,22.128,,44.024,1.396,3.6,0.0,0.0,0.0,795.4,,0.0,9.9,80.0,996.4,7.7,131.0,0.0,,0.0,,
10,SENS_3FD650,2026-03-05 10:40:00+00:00,22.248,,43.076,1.0,3.6,0.0,0.0,0.0,724.8,,0.0,11.5,76.0,996.2,8.0,140.0,1.0,,0.0,,
11,SENS_3FD650,2026-03-05 10:50:00+00:00,22.284,,42.788,1.0,4.0,0.0,0.0,0.0,704.4,,0.0,11.5,76.0,996.2,8.0,140.0,1.0,,0.0,,
