index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,EyeSense:B4:3A:45:4A:11:68,2025-09-27 15:40:00+00:00,20.17,,53.67666666666667,16.44333333333333,100.0,0.0,0.0,0.0399999991059303,861.3333333333334,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
1,EyeSense:B4:3A:45:4A:11:68,2025-09-27 15:45:00+00:00,21.17,,51.56199999999999,19.998,100.0,0.0,0.0,0.0419999986886978,862.0,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
2,EyeSense:B4:3A:45:4A:11:68,2025-09-27 15:50:00+00:00,22.05,,49.54,17.264,48.4,0.0,0.0,0.0319999992847442,853.2,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
3,EyeSense:B4:3A:45:4A:11:68,2025-09-27 15:55:00+00:00,22.982,,48.024,11.062,16.4,0.0,0.0,0.0159999996423721,843.8,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
4,EyeSense:B4:3A:45:4A:11:68,2025-09-27 16:00:00+00:00,23.408,,45.44,19.998,14.4,0.0,0.0,0.065999998152256,783.8,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
5,EyeSense:B4:3A:45:4A:11:68,2025-09-27 16:05:00+00:00,23.782,,44.696,21.464,15.0,0.0,0.0,0.09200000166893,762.6,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
6,EyeSense:B4:3A:45:4A:11:68,2025-09-27 16:10:00+00:00,24.128000000000004,,43.016,15.329999999999998,15.6,0.0,0.0,0.0159999996423721,755.2,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
7,EyeSense:B4:3A:45:4A:11:68,2025-09-27 16:15:00+00:00,24.434,,42.874,15.398,15.2,0.0,0.0,0.0319999992847442,750.2,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
8,EyeSense:B4:3A:45:4A:11:68,2025-09-27 16:20:00+00:00,24.568,,42.242,14.066,14.0,0.0,0.0,0.0239999994635581,749.6,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
9,EyeSense:B4:3A:45:4A:11:68,2025-09-27 16:25:00+00:00,24.702,,41.776,14.332,12.8,0.0,0.0,0.0239999994635581,752.4,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
10,EyeSense:B4:3A:45:4A:11:68,2025-09-27 16:30:00+00:00,24.888,,40.988,11.73,16.6,0.0,0.0,0.007999999821186,754.4,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
