index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,SENS_34D23C,2025-09-27 15:40:00+00:00,20.48333333333333,,52.02,23.22,100.0,0.0,0.0,0.0,842.6666666666666,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
1,SENS_34D23C,2025-09-27 15:45:00+00:00,20.89,,51.124,19.064,97.0,0.0,0.0,0.0,821.4,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
2,SENS_34D23C,2025-09-27 15:50:00+00:00,22.036,,47.846,28.662,50.0,0.0,0.0,0.0,819.4,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
3,SENS_34D23C,2025-09-27 15:55:00+00:00,22.886,,45.408,22.93,19.8,0.0,0.0,0.0,804.2,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
4,SENS_34D23C,2025-09-27 16:00:00+00:00,23.256,,43.806,29.396000000000004,7.6,0.0,0.0,0.0,750.6,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
5,SENS_34D23C,2025-09-27 16:05:00+00:00,23.292,,43.57,30.464,10.6,0.0,0.0,0.0,724.2,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
6,SENS_34D23C,2025-09-27 16:10:00+00:00,23.408,,43.202,20.462,11.2,0.0,0.0,0.0,716.0,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
7,SENS_34D23C,2025-09-27 16:15:00+00:00,23.406,,43.23199999999999,15.929999999999998,11.4,0.0,0.0,0.0,714.0,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
8,SENS_34D23C,2025-09-27 16:20:00+00:00,23.37,,43.17,12.066,9.8,0.0,0.0,0.0,710.2,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
9,SENS_34D23C,2025-09-27 16:25:00+00:00,23.342,,43.236,11.064,7.4,0.0,0.0,0.0,710.0,,0.2,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
10,SENS_34D23C,2025-09-27 16:30:00+00:00,23.376,,43.106,9.062,12.4,0.0,0.0,0.0,704.2,,1.0,14.1,70.0,998.2,14.2,168.0,100.0,,0.0,,
11,SENS_34D23C,2025-09-27 16:40:00+00:00,23.37,,43.005,10.5,9.0,0.0,0.0,0.0,700.5,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
12,SENS_34D23C,2025-09-27 16:45:00+00:00,23.402,,42.968,12.598,13.6,0.0,0.0,0.0,690.2,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
13,SENS_34D23C,2025-09-27 16:50:00+00:00,23.39,,42.946000000000005,10.264,10.0,0.0,0.0,0.0,688.6,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
14,SENS_34D23C,2025-09-27 16:55:00+00:00,23.4,,42.886,11.73,8.6,0.0,0.0,0.0,674.4,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
15,SENS_34D23C,2025-09-27 17:00:00+00:00,23.386000000000003,,42.86,14.598,13.6,0.0,0.0,0.0,665.2,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
16,SENS_34D23C,2025-09-27 17:05:00+00:00,23.332,,42.98,13.398,10.4,0.0,0.0,0.0,654.8,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
17,SENS_34D23C,2025-09-27 17:10:00+00:00,23.388,,42.948,14.196000000000002,36.8,0.0,0.0,0.0,644.2,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
18,SENS_34D23C,2025-09-27 17:15:00+00:00,24.026,,41.72,11.394,29.0,0.0,0.0,0.0,656.2,,0.8,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
19,SENS_34D23C,2025-09-27 17:20:00+00:00,24.338,,41.154,108.06199999999998,48.2,0.0,0.0,0.0,682.8,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
20,SENS_34D23C,2025-09-27 17:25:00+00:00,23.558,,42.812,255.66200000000003,42.6,0.0,0.0,0.0,699.0,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
21,SENS_34D23C,2025-09-27 17:30:00+00:00,23.136000000000003,,43.952,253.93,43.4,0.0,0.0,0.0,718.4,,1.0,13.6,74.0,998.1,14.5,166.0,98.0,,0.0,,
22,SENS_34D23C,2025-09-27 17:35:00+00:00,23.182,,43.91,54.196000000000005,9.4,0.0,0.0,0.0,728.0,,0.8,13.1,76.0,998.4,13.9,167.0,100.0,,0.0,,
23,SENS_34D23C,2025-09-27 17:40:00+00:00,23.474,,42.844,5.0600000000000005,5.4,0.0,0.0,0.0,700.6,,0.0,13.1,76.0,998.4,13.9,167.0,100.0,,0.0,,
24,SENS_34D23C,2025-09-27 17:45:00+00:00,23.608000000000004,,42.4,3.46,5.6,0.0,0.0,0.0,682.6,,0.0,13.1,76.0,998.4,13.9,167.0,100.0,,0.0,,
25,SENS_34D23C,2025-09-27 17:50:00+00:00,23.7625,,42.0725,3.9125,5.25,0.0,0.0,0.0,685.0,,0.0,13.1,76.0,998.4,13.9,167.0,100.0,,0.0,,
26,SENS_34D23C,2025-09-27 18:10:00+00:00,23.67,,42.128,2.798,5.8,0.0,0.0,0.0,713.4,,0.0,13.1,76.0,998.4,13.9,167.0,100.0,,0.0,,
