index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,SENS_35946C,2025-09-29 11:20:00+00:00,19.722500000000004,,58.68,31.9125,99.75,0.0,0.0,0.1899999976158142,1647.5,,1.0,13.6,71.0,1007.4,3.5,249.0,100.0,,0.0,,
1,SENS_35946C,2025-09-29 11:25:00+00:00,20.295,,57.64,29.495,100.0,0.0,0.0,0.209999993443489,1684.5,,1.0,13.6,71.0,1007.4,3.5,249.0,100.0,,0.0,,
2,SENS_35946C,2026-03-03 09:20:00+00:00,17.878,,61.80799999999999,11.0,7.8,0.0,0.0,0.1700000017881393,1334.6,,1.0,7.6,87.0,1008.1,6.3,31.0,98.0,,0.0,,
3,SENS_35946C,2026-03-03 09:30:00+00:00,17.986,,62.024,11.596,4.0,0.0,0.0,0.1939999967813492,1313.0,,0.0,7.6,87.0,1008.1,6.3,31.0,98.0,,0.0,,
4,SENS_35946C,2026-03-03 09:40:00+00:00,17.978,,61.798,13.13,3.0,0.0,0.0,0.2019999951124191,1287.8,,0.0,8.6,80.0,1008.8,8.7,52.0,100.0,,0.0,,
5,SENS_35946C,2026-03-03 10:10:00+00:00,17.753999999999998,,61.86,17.529999999999998,3.0,0.0,0.0,0.2019999951124191,1246.4,,0.0,8.6,80.0,1008.8,8.7,52.0,100.0,,0.0,,
6,SENS_35946C,2026-03-03 10:20:00+00:00,17.688000000000002,,61.88,21.93,3.0,0.0,0.0,0.2019999951124191,1236.6,,0.0,8.6,80.0,1008.8,8.7,52.0,100.0,,0.0,,
7,SENS_35946C,2026-03-03 10:30:00+00:00,17.619999999999997,,61.986,24.598,3.0,0.0,0.0,0.209999993443489,1229.8,,0.0,8.6,80.0,1008.8,8.7,52.0,100.0,,0.0,,
8,SENS_35946C,2026-03-03 10:40:00+00:00,17.548,,62.026,25.398,3.0,0.0,0.0,0.2019999951124191,1221.4,,0.0,9.1,76.0,1009.0,9.7,63.0,100.0,,0.0,,
9,SENS_35946C,2026-03-03 10:50:00+00:00,17.491999999999997,,62.04799999999999,24.33,3.0,0.0,0.0,0.209999993443489,1213.8,,0.0,9.1,76.0,1009.0,9.7,63.0,100.0,,0.0,,
10,SENS_35946C,2026-03-03 11:10:00+00:00,17.502499999999998,,61.8175,34.662499999999994,3.0,0.0,0.0,0.2474999912083149,1203.75,,0.0,9.1,76.0,1009.0,9.7,63.0,100.0,,0.0,,
11,SENS_35946C,2026-03-03 11:20:00+00:00,17.622,,61.346,33.19599999999999,3.2,0.0,0.0,0.2299999922513961,1210.8,,0.0,9.1,76.0,1009.0,9.7,63.0,100.0,,0.0,,
12,SENS_35946C,2026-03-03 11:30:00+00:00,17.625999999999998,,61.35999999999999,27.93,32.4,0.0,0.0,0.209999993443489,1219.8,,0.6,9.1,76.0,1009.0,9.7,63.0,100.0,,0.0,,
13,SENS_35946C,2026-03-03 11:40:00+00:00,17.644,,61.658,32.398,3.0,0.0,0.0,0.2019999951124191,1272.8,,0.4,8.5,78.0,1009.2,9.7,74.0,100.0,,0.0,,
14,SENS_35946C,2026-03-03 12:05:00+00:00,17.685000000000002,,60.6525,23.995,3.0,0.0,0.0,0.1799999997019767,1218.25,,0.0,8.5,78.0,1009.2,9.7,74.0,100.0,,0.0,,
15,SENS_35946C,2026-03-03 12:15:00+00:00,17.648,,60.514,26.864,3.0,0.0,0.0,0.1780000001192093,1198.4,,0.0,8.5,78.0,1009.2,9.7,74.0,100.0,,0.0,,
