index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,EyeSense:E4:B0:63:35:B5:FC,2025-09-29 11:40:00+00:00,22.076666666666664,,56.27,37.77333333333333,98.0,0.0,0.0,0.1299999952316284,1521.6666666666667,,1.0,14.4,66.0,1007.0,4.6,249.0,100.0,,0.0,,
1,EyeSense:E4:B0:63:35:B5:FC,2025-09-29 11:45:00+00:00,22.54,,54.47,35.66,100.0,0.0,0.0,0.1299999952316284,1499.0,,1.0,14.4,66.0,1007.0,4.6,249.0,100.0,,0.0,,
2,EyeSense:E4:B0:63:35:B5:FC,2026-03-04 08:25:00+00:00,12.052,,101.48600000000002,21.998,7.2,0.0,0.0,0.1299999952316284,1591.0,,0.8,5.3,90.0,1007.0,8.4,110.0,1.0,,0.0,,
3,EyeSense:E4:B0:63:35:B5:FC,2026-03-04 08:35:00+00:00,17.059999999999995,,71.67,27.264,3.4,0.0,0.0,0.1539999991655349,1496.0,,0.0,6.6,88.0,1006.8,7.4,103.0,0.0,,0.0,,
4,EyeSense:E4:B0:63:35:B5:FC,2026-03-04 08:45:00+00:00,19.45,,60.344,25.332,2.4,0.0,0.0,0.1119999960064888,1383.8,,0.6,6.6,88.0,1006.8,7.4,103.0,0.0,,0.0,,
5,EyeSense:E4:B0:63:35:B5:FC,2026-03-04 09:10:00+00:00,21.004,,52.89000000000001,28.129999999999995,2.2,0.0,0.0,0.1539999961853027,1243.2,,0.0,6.6,88.0,1006.8,7.4,103.0,0.0,,0.0,,
6,EyeSense:E4:B0:63:35:B5:FC,2026-03-04 09:20:00+00:00,21.184000000000005,,51.91600000000001,26.464,2.0,0.0,0.0,0.1299999952316284,1189.2,,0.0,6.6,88.0,1006.8,7.4,103.0,0.0,,0.0,,
7,EyeSense:E4:B0:63:35:B5:FC,2026-03-04 09:30:00+00:00,21.402000000000005,,50.906,35.995999999999995,2.0,0.0,0.0,0.2019999951124191,1141.8,,0.0,6.6,88.0,1006.8,7.4,103.0,0.0,,0.0,,
8,EyeSense:E4:B0:63:35:B5:FC,2026-03-04 09:40:00+00:00,21.352,,50.634,28.864,2.0,0.0,0.0,0.1459999978542328,1094.8,,0.0,8.3,84.0,1006.7,7.9,110.0,0.0,,0.0,,
9,EyeSense:E4:B0:63:35:B5:FC,2026-03-04 09:50:00+00:00,21.28,,50.66,39.0,2.0,0.0,0.0,0.209999993443489,1057.0,,1.0,8.3,84.0,1006.7,7.9,110.0,0.0,,0.0,,
