index,name,vtime,avgT,avgTcs,avgH,avgLux,avgRe,avgP,avgE,avgUV,avgCO2,avgC,avgrdr,weather_temperature,weather_humidity,weather_pressure,weather_wind_speed,weather_wind_direction,weather_cloud_cover,weather_visibility,weather_precipitation,weather_code,weather_description
0,EyeSense:E4:B0:63:35:B6:54,2025-09-29 12:40:00+00:00,19.61,,60.370000000000005,50.83,100.0,0.0,0.0,0.1299999952316284,1841.0,,1.0,15.4,58.0,1007.1,4.7,277.0,100.0,,0.0,,
1,EyeSense:E4:B0:63:35:B6:54,2025-09-29 12:45:00+00:00,20.556,,59.742,46.528,100.0,0.0,0.0,0.1119999960064888,1878.2,,1.0,15.4,58.0,1007.1,4.7,277.0,100.0,,0.0,,
2,EyeSense:E4:B0:63:35:B6:54,2026-03-03 11:30:00+00:00,20.21,,50.115,197.745,100.0,0.0,0.0,0.7300000190734863,919.25,,1.0,9.1,76.0,1009.0,9.7,63.0,100.0,,0.0,,
3,EyeSense:E4:B0:63:35:B6:54,2026-03-03 11:40:00+00:00,23.142000000000003,,41.902,242.598,100.0,0.0,0.0,0.9139999985694884,910.2,,1.0,8.5,78.0,1009.2,9.7,74.0,100.0,,0.0,,
4,EyeSense:E4:B0:63:35:B6:54,2026-03-03 11:55:00+00:00,23.712,,41.078,213.862,100.0,0.0,0.0,0.7840000033378601,953.2,,1.0,8.5,78.0,1009.2,9.7,74.0,100.0,,0.0,,
5,EyeSense:E4:B0:63:35:B6:54,2026-03-03 12:15:00+00:00,23.3125,,41.36,163.6625,19.25,0.0,0.0,0.6049999892711639,953.5,,1.0,8.5,78.0,1009.2,9.7,74.0,100.0,,0.0,,
6,EyeSense:E4:B0:63:35:B6:54,2026-03-03 12:25:00+00:00,23.484,,41.854,157.66400000000002,99.4,0.0,0.0,0.5279999852180481,1011.0,,1.0,8.5,78.0,1009.2,9.7,74.0,100.0,,0.0,,
7,EyeSense:E4:B0:63:35:B6:54,2026-03-03 12:35:00+00:00,23.44,,42.035,184.665,51.5,0.0,0.0,0.6049999892711639,1003.5,,0.5,9.8,69.0,1009.2,10.3,91.0,100.0,,0.0,,
8,EyeSense:E4:B0:63:35:B6:54,2026-03-03 12:55:00+00:00,23.166666666666668,,41.056666666666665,185.10666666666668,3.0,0.0,0.0,0.6499999761581421,889.6666666666666,,0.0,9.8,69.0,1009.2,10.3,91.0,100.0,,0.0,,
9,EyeSense:E4:B0:63:35:B6:54,2026-03-03 13:05:00+00:00,23.006,,41.234,223.93,3.0,0.0,0.0,0.7840000033378601,851.8,,0.0,9.8,69.0,1009.2,10.3,91.0,100.0,,0.0,,
